web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775677852-1","https://blinkit.com/cn/pharma-wellness/adult-diapers/cid/287/629","Lifree Super Extra Absorb Adult Diaper - L","₹468","₹550","14%
OFF","10 pcs","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/348252bf-e18d-4104-b231-6f71fa141e1c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677852-2","https://blinkit.com/cn/pharma-wellness/adult-diapers/cid/287/629","Kare In Classic Adult Diaper Pants, Medium (75 - 100 cm)","₹228","₹470","51%
OFF","10 pcs","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/aea3001c-2363-43b4-afbc-d898146f3c54.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677852-3","https://blinkit.com/cn/pharma-wellness/adult-diapers/cid/287/629","Kare In Classic Underpad - L","₹152","₹1,030","85%
OFF","10 pcs","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/71d9f869-a2cb-45a1-96e4-b11797bdc15d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677852-4","https://blinkit.com/cn/pharma-wellness/adult-diapers/cid/287/629","Kare In Classic Adult Diaper Pants, Large (90 - 120 cm)","₹246","₹515","52%
OFF","10 pcs","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2330bb3e-c344-48f5-b4cb-4d43df75814e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677852-5","https://blinkit.com/cn/pharma-wellness/adult-diapers/cid/287/629","Lifree Super Extra Absorb Pant Style Adult Diaper","₹668","₹834","19%
OFF","18 pcs","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770112173380-152.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677852-6","https://blinkit.com/cn/pharma-wellness/adult-diapers/cid/287/629","CIR Premium Adult Diaper Pants, M (30” – 40”)","₹247","₹467","47%
OFF","10 pcs","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/36532eb4-d554-4588-9167-e010e71fdac7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677852-7","https://blinkit.com/cn/pharma-wellness/adult-diapers/cid/287/629","Kare In Classic Adult Diaper Pants, Extra Large (100 - 150 cm)","₹264","₹560","52%
OFF","10 pcs","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/db2262d3-4637-46e7-a71d-7d57f18e03ef.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677852-8","https://blinkit.com/cn/pharma-wellness/adult-diapers/cid/287/629","CIR Premium Adult Diaper Pants, L (35"" - 47"")","₹269","₹514","47%
OFF","10 pcs","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8e51e706-c96a-4c39-89e7-ff170bf8be17.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677852-9","https://blinkit.com/cn/pharma-wellness/adult-diapers/cid/287/629","Kare In Classic Adult Diaper Tape Style, Medium (76 - 114 cm)","₹267","₹470","43%
OFF","10 pcs","13 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a5d82b39-8a26-4c03-b650-6644bfc18bc1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775677852-10","https://blinkit.com/cn/pharma-wellness/adult-diapers/cid/287/629","Friends Classic Adult Diaper Pants Style (L, 30-56"")","₹309","₹570","45%
OFF","10 pcs","13 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772768700466-132.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
