web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,image
"1775678290-1","https://blinkit.com/cn/pharma-wellness/antiseptic-liquid/cid/287/1121","Dettol Antiseptic Liquid - 250 ml","250 ml","₹159","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/28e22703-546d-4db7-a48a-6011c455a24d.png"
"1775678290-2","https://blinkit.com/cn/pharma-wellness/antiseptic-liquid/cid/287/1121","Boroline Suthol Skin Antiseptic Liquid - Neem","100 ml","₹47","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2602f114-e5de-4677-b094-afb5c8899415.png"
"1775678290-3","https://blinkit.com/cn/pharma-wellness/antiseptic-liquid/cid/287/1121","Dettol Germ Defence Antiseptic Liquid 750 ml","750 ml","₹364","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7af0c564-6176-4f1c-b23f-19aaa7cd2013.png"
"1775678290-4","https://blinkit.com/cn/pharma-wellness/antiseptic-liquid/cid/287/1121","Dettol Germ Defence Antiseptic Liquid","1300 ml","₹537","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8860ae2b-6809-422e-9628-249b6c810a35.png"
"1775678290-5","https://blinkit.com/cn/pharma-wellness/antiseptic-liquid/cid/287/1121","Boroline Suthol Antiseptic Liquid Spray - Neem","100 ml","₹85","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ff087202-26ce-415c-b391-a51882532f06.png"
"1775678290-6","https://blinkit.com/cn/pharma-wellness/antiseptic-liquid/cid/287/1121","Savlon Disinfectant Antiseptic Liquid","200 ml","₹94","₹103","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2ec03012-745e-4a53-be0b-c7d4c1dfe74b.png"
"1775678290-7","https://blinkit.com/cn/pharma-wellness/antiseptic-liquid/cid/287/1121","Savlon Disinfectant Antiseptic Liquid","1 ltr","₹337","₹374","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7a91ec43-e709-4482-b5ad-facc4d464f8c.png"
"1775678290-8","https://blinkit.com/cn/pharma-wellness/antiseptic-liquid/cid/287/1121","Filixtrue Hydrogen Peroxide Solution","500 ml","₹225","₹499","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4d1e8ee1-da88-4040-bce2-aaa343e62a22.png"
"1775678290-9","https://blinkit.com/cn/pharma-wellness/antiseptic-liquid/cid/287/1121","Boroline Suthol Body Hygiene Antiseptic Liquid Spray - Fresh With Aloe Vera & Neem","100 ml","₹80","₹85","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/97508122-a3c9-4883-af0f-62fd5f9c27f2.png"
"1775678290-10","https://blinkit.com/cn/pharma-wellness/antiseptic-liquid/cid/287/1121","Boroline Suthol Skin Hygiene Antiseptic Liquid Fresh With Aloe Vera & Neem","100 ml","₹48","","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3d0f52c6-3013-4621-8e30-14574ad62c4e.png"
"1775678290-11","https://blinkit.com/cn/pharma-wellness/antiseptic-liquid/cid/287/1121","Dettol Antiseptic Liquid","1 ltr","₹413","₹441","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3504ed69-9b08-48ab-bec5-2d3d428293a5.png"
"1775678290-12","https://blinkit.com/cn/pharma-wellness/antiseptic-liquid/cid/287/1121","Dettol Antiseptic Liquid - 550 ml","550 ml","₹243","₹259","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8177dde8-7c03-47fb-9d4b-94a0feba7f09.png"
"1775678290-13","https://blinkit.com/cn/pharma-wellness/antiseptic-liquid/cid/287/1121","Dettol Surface Disinfection & Personal Hygiene Antiseptic Liquid","125 ml","₹75","₹80","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8b20ec17-ebc8-44ad-830d-a33f0e9da818.png"
"1775678290-14","https://blinkit.com/cn/pharma-wellness/antiseptic-liquid/cid/287/1121","Wellness Tree Hydrogen Peroxide","400 ml","₹395","","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9067ef9e-6342-44ea-a3da-ed257970a806.png"
