web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775676097-1","https://blinkit.com/cn/baby-care/feeding-essentials/cid/7/169","LuvLap Baby Feeding Bottle (250 ml, Blue)","1 pc","₹160","","","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771992965724-233.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775676097-2","https://blinkit.com/cn/baby-care/feeding-essentials/cid/7/169","LuvLap Natura Flo Feeding Nipple for Wide Neck Bottle","2 pcs","₹112","₹115","","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c6d3625c-90e4-48a6-a7e3-92535db85999.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775676097-3","https://blinkit.com/cn/baby-care/feeding-essentials/cid/7/169","LuvLap Slim Neck Baby Feeding Bottle - Slow Flow 0+M (125 ml)","1 pc","₹130","","","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771992965724-721.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775676097-4","https://blinkit.com/cn/baby-care/feeding-essentials/cid/7/169","LuvLap Slim Neck Bottle Feeding Nipple Slow Flow, 0m+ (Transparent)","2 pcs","₹90","","","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/670d6005-0460-4493-ba4a-f2af1a2bc811.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775676097-5","https://blinkit.com/cn/baby-care/feeding-essentials/cid/7/169","Mee Mee 2 in 1 Baby Bottle & Nipple Brush","1 pc","₹182","₹229","20%
OFF","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7a82c09d-9da2-4e28-979b-723c0f4552a1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775676097-6","https://blinkit.com/cn/baby-care/feeding-essentials/cid/7/169","Bumtum Tree Shape Silicone Teether","2 pcs","₹180","₹499","63%
OFF","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/40b03a8b-c837-4cbe-8974-9d302a17e267.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775676097-7","https://blinkit.com/cn/baby-care/feeding-essentials/cid/7/169","LuvLap Moby Little Spout Baby Sipper (240 ml, Blue)","1 pc","₹245","₹285","14%
OFF","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772090931565-695.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775676097-8","https://blinkit.com/cn/baby-care/feeding-essentials/cid/7/169","LuvLap Heat Sensitive Baby Feeding Spoon Set","2 pcs","₹133","₹169","21%
OFF","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f88bf9c5-9698-4e90-a307-5903874bf949.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775676097-9","https://blinkit.com/cn/baby-care/feeding-essentials/cid/7/169","LuvLap Silicone Food/Fruit Baby Nibbler with Extra Mesh (Green, Yellow)","1 pc","₹199","₹229","13%
OFF","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d772fa69-f6df-4361-81cb-dff60aefa1a6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775676097-10","https://blinkit.com/cn/baby-care/feeding-essentials/cid/7/169","LuvLap Wide Neck Feeding Nipple Medium Flow, 3m+","2 pcs","₹110","","","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7da9c071-081f-445d-8abd-ce7aacba0557.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
