web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775673964-1","https://blinkit.com/cn/baby-care/baby-food/cid/7/1590","Nestle Ceregrow No Refined Sugar Multigrain Cereal","300 g","₹269","₹299","10%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770878460978-619.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775673964-2","https://blinkit.com/cn/baby-care/baby-food/cid/7/1590","Amulspray Baby Milk Powder","500 g","₹245","","","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/550d5bb7-bb70-4d41-b8b2-905851b28821.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775673964-3","https://blinkit.com/cn/baby-care/baby-food/cid/7/1590","Amulspray Baby Milk Powder","1 kg","₹475","","","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c36aa31a-937c-4c2e-952a-2f1703a0f2f5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775673964-4","https://blinkit.com/cn/baby-care/baby-food/cid/7/1590","Nestle Ceregrow Multigrain Milk & Fruits Cereal","300 g","₹268","₹299","10%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770878460978-483.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775673964-5","https://blinkit.com/cn/baby-care/baby-food/cid/7/1590","Nestle Cerelac Wheat Apple Baby Cereal (6 - 24 Months)","350 g","₹280","","","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772000974853-671.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775673964-6","https://blinkit.com/cn/baby-care/baby-food/cid/7/1590","Aptamil Gold Stage 1 Infant Formula (with Prebiotics)","400 g","₹960","","","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e460aa4f-3ba8-4dcc-8dde-f7d1f18bff55.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775673964-7","https://blinkit.com/cn/baby-care/baby-food/cid/7/1590","Nestle Cerelac Wheat Baby Cereal (No Refined Sugar, 6-24 Months)","300 g","₹230","","","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3ef8bdcf-e153-4569-afa9-1533d1b581cb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775673964-8","https://blinkit.com/cn/baby-care/baby-food/cid/7/1590","Aptamil Gold Stage 3 Follow up Formula (12 months+)","400 g","₹960","","","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ab9892d5-041b-4f20-8bb1-968f7b04d0fe.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775673964-9","https://blinkit.com/cn/baby-care/baby-food/cid/7/1590","Nestle Cerelac Rice Baby Cereal (No Refined Sugar, 6-24 Months)","300 g","₹250","","","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d3c17c33-7bbf-44af-8d76-94187c16b15d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775673964-10","https://blinkit.com/cn/baby-care/baby-food/cid/7/1590","Aptamil Gold Stage 2 Follow up Formula (6 months+)","400 g","₹1,010","","","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fb72b8af-469c-4347-9e9a-9d14ee4fcd8e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775673964-11","https://blinkit.com/cn/baby-care/baby-food/cid/7/1590","Nestle Cerelac Wheat Apple Cherry Baby Cereal (8 to 24 Months, No Refined Sugar)","350 g","₹290","","","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772432009525-1787.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775673964-12","https://blinkit.com/cn/baby-care/baby-food/cid/7/1590","Nestle Lactogen Pro 2 Follow up Formula (Powder)","400 g","₹450","","","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775024352184-39.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
