web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775676803-1","https://blinkit.com/cn/baby-care/health-safety/cid/7/997","Little Joys Nutrimix 2+ Years Chocolate Drink Mix","350 g","₹649","","","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774944393398-36.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775676803-2","https://blinkit.com/cn/baby-care/health-safety/cid/7/997","Mother Sparsh Natural Insect Spray ((3+ Months))","100 ml","₹201","₹233","13%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/522df6d1-f68b-497d-81dc-279aeb0d19ba.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775676803-3","https://blinkit.com/cn/baby-care/health-safety/cid/7/997","Sebamed Baby Diaper Rash Cream","100 ml","₹524","₹630","16%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6522aa44-f6f1-4262-b66a-3713e639712e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775676803-4","https://blinkit.com/cn/baby-care/health-safety/cid/7/997","Vicks BabyRub Chest Rub & Balm","25 ml","₹111","₹117","5%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/178e3bb9-bd24-44c9-a471-4fad8c5e1a49.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775676803-5","https://blinkit.com/cn/baby-care/health-safety/cid/7/997","Woodward's Gripe Water","200 ml","₹100","","","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773636803072-11.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775676803-6","https://blinkit.com/cn/baby-care/health-safety/cid/7/997","Bumtum Electrical Plug Baby Safety Guard","10 pcs","₹777","₹799","","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/08c0d5ad-540b-4cd2-97aa-eb9069ff4799.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775676803-7","https://blinkit.com/cn/baby-care/health-safety/cid/7/997","Himalaya Baby Diaper Rash Cream","50 g","₹125","₹140","10%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d9d019a1-49b9-4997-9fa8-99a98615fdf8.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775676803-8","https://blinkit.com/cn/baby-care/health-safety/cid/7/997","Mamaearth Baby Powder (0 - 5 Years)","150 g","₹199","","","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c4aa033c-df6d-428b-b723-df614f7e9c74.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775676803-9","https://blinkit.com/cn/baby-care/health-safety/cid/7/997","Mother Sparsh Natural Vapour Patches","5 pcs","₹180","₹225","20%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6b3f15cb-03fd-485e-bdac-fcdff9e12428.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775676803-10","https://blinkit.com/cn/baby-care/health-safety/cid/7/997","Mother Sparsh Tummy Roll On","40 ml","₹144","₹233","38%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/22970ca0-8c4a-49f1-8853-540128dae116.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
