web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775676242-1","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Oral-B Kids Toothbrush (Colour may Vary)","3 pcs","₹49","₹50","","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a32f7ba5-a719-4fa8-91cd-cfcafa7c4d77.png","",""
"1775676242-2","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Chicco Kids Toothpaste (Strawberry Flavor, 12M+)","50 g","₹134","₹159","15%
OFF","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/62fc7984-6fac-4706-8fa0-af7378345af0.png","",""
"1775676242-3","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Chicco Kids Toothpaste (Mix Fruit Flavor, 1 - 6 Years)","50 g","₹143","₹159","10%
OFF","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/583183e2-0246-4e84-bef7-c8dfd40e710e.png","",""
"1775676242-4","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Chicco Apple-Banana Kids Toothpaste (6m to 6 yr)","50 g","₹122","₹159","23%
OFF","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d2aeb59e-afc6-4de0-8eeb-85dfe09f0943.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png",""
"1775676242-5","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Chicco Kids Toothbrush (Blue)","1 pc","₹87","₹105","17%
OFF","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/eb815ac2-ad91-4205-b499-a691ec12f6ad.png","",""
"1775676242-6","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Colgate Batman Extra Soft Kids Toothbrush (5+ Years)","1 pc","₹70","₹79","11%
OFF","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770354074420-221.png","",""
"1775676242-7","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Colgate Kids Toothpaste ((2 - 5 years) - Strawberry Flavor)","40 g","₹90","₹94","","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/85baaaa1-3f64-4cd6-b31b-5a67584f8a28.png","",""
"1775676242-8","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Chicco Bubblegum Kids Toothpaste (No Fluoride)","50 g","₹148","₹159","6%
OFF","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0b59fbed-dcff-4263-aff2-e2820f0c7496.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png",""
"1775676242-9","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Colgate (2+ Years) Gentle Soft Kids Toothbrush","3 pcs","₹64","₹67","","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ee5d591e-87ee-4150-b22b-9a8f17be9e24.png","",""
"1775676242-10","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Colgate Barbie Strawberry Baby Toothpaste","80 g","₹153","₹180","15%
OFF","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773209075619-88.png","",""
"1775676242-11","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Mamaearth Berry Blast Kids Toothpaste (12 + months)","50 g","₹132","","","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d3c23223-3804-42d6-bd44-f42adfba73a9.png","",""
"1775676242-12","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Colgate Smiles Barbie Extra Soft Kids Toothbrush (Ages 5+)","1 pc","₹70","₹79","11%
OFF","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770354074420-235.png","",""
"1775676242-13","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Chicco Baby Toothbrush (6-36 months)","1 pc","₹99","₹132","25%
OFF","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/05720b09-0bda-448f-a194-9c2789a64f11.png","",""
"1775676242-14","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Colgate Extra Soft Baby Toothbrush (0 - 2 Years)","1 pc","₹27","","","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2c132dd4-b414-449f-a7f1-172a4cf0cac6.png","",""
"1775676242-15","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Tots & Bubbles Nasal Relief Vapour Patches (No Skin Application)","5 pcs","₹178","₹299","40%
OFF","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773919367897-223.png","",""
"1775676242-16","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Mee Mee Tooth & Gum Cleaning Finger Baby Toothbrush","1 pc","₹85","₹99","14%
OFF","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9355dd1c-3da9-43f5-b16f-477e618b95a8.png","",""
"1775676242-17","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Colgate Batman Bubble Fruit Flavour Kids Toothpaste (6+ Years)","80 g","₹153","₹180","15%
OFF","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/674ec4c7-39a6-443a-ba67-5a63c8c660ef.png","",""
"1775676242-18","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Colgate Cocomelon Kids Toothpaste (for 2-5 Years (Strawberry))","80 g","₹153","₹180","15%
OFF","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8042ef5f-f36e-4d3c-8f14-c4f6e5c7ac3e.png","",""
"1775676242-19","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Colgate Kids Anticavity Motu Patlu Bubble Fruit Flavour Kids Toothpaste (6+ years)","80 g","₹153","₹180","15%
OFF","","ADD","","",""
"1775676242-20","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Colgate Minion Kids Toothbrush (with Toothpaste)","2 pcs","₹104","₹115","9%
OFF","","ADD","","",""
"1775676242-21","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Colgate Natural Strawberry Flavour Kids Toothpaste (3-5 years)","80 g","₹203","₹260","21%
OFF","","ADD","","",""
"1775676242-22","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Chicco 3 - 8 Years Kids Toothbrush (Pink & Green)","2 pcs","₹148","₹175","15%
OFF","","ADD","","",""
"1775676242-23","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Chicco Kids Toothbrush (Pink)","1 pc","₹86","₹105","18%
OFF","","ADD","","",""
"1775676242-24","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Pigeon Baby Blister Nose Cleaner","1 pc","₹205","₹329","37%
OFF","","ADD","","",""
"1775676242-25","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Pigeon Baby Fruit Punch Baby Toothpaste","45 g","₹155","","","","ADD","","",""
"1775676242-26","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Colgate Fluffy Paw Ultra Soft Kids Toothbrush","2 pcs","₹298","₹350","14%
OFF","","ADD","","",""
"1775676242-27","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Pigeon Baby Strawberry Baby Toothpaste","45 g","₹155","₹175","11%
OFF","","ADD","","",""
"1775676242-28","https://blinkit.com/cn/baby-care/oral-nasal-care/cid/7/998","Oral-B Iron Man Kids Electric Toothbrush (3+ Years)","1 pc","₹506","₹799","36%
OFF","","ADD","","",""
