web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775673863-1","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Oyo Baby Aloe Vera & Vitamin E Baby Wipes - Pack of 3","3 x 72 wipes","₹195","₹597","67%
OFF","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ab7287f4-fa7d-430e-b2d1-55ec8d12b55a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-2","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","LuvLap Moisturising Baby Wipes with Aloe Vera","72 wipes","₹79","₹115","31%
OFF","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/714f2032-07f3-423f-a6ef-3738ad8fea19.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-3","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Little's Soft Cleansing Baby Wipes Lid Pack | Wet Wipes","80 wipes","₹102","₹220","53%
OFF","16 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/41405176-0100-442d-8acc-f9536089932d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-4","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Mee Mee Caring Baby Wipes with Aloe Vera - Pack of 3","3 x 72 wipes","₹183","₹297","38%
OFF","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d32299b8-3bdf-454a-becf-bd7a85191d9f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-5","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Little's Soft Cleansing Baby Wipes | Wet Wipes","3 x 80 wipes","₹278","₹570","51%
OFF","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6e991e18-82d3-4ef4-ba4d-906ffea05e8c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-6","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Mee Mee Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free","3 x 72 wipes","₹183","₹327","44%
OFF","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2fb10579-b003-41e1-bb02-a3049a975269.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-7","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","LuvLap Baby Wipes with Aloevera","3 x 72 wipes","₹193","₹297","35%
OFF","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/716261df-9019-4860-853d-c34e6b6d5e1f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-8","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Chicco Soft & Moisturizing Wet Baby Wipes","72 wipes","₹79","₹99","20%
OFF","16 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/dfd5c87f-6194-4412-bf11-7fc943dbae8a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-9","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Morisons Baby Dreams Soft Baby Wipes","3 x 72 wipes","₹183","₹375","51%
OFF","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7ecef7ed-72be-4631-bdca-722d57ab69bd.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-10","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Johnson's Skincare Baby Wipes","72 wipes","₹168","₹280","40%
OFF","16 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e50f1c46-7209-40e7-aff9-93f698a5d6a6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
