web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775672920-1","https://blinkit.com/cn/organic-premium/baking-essentials/cid/175/946","Hershey's Natural Unsweetened Cocoa Powder","225 g","₹338","₹355","","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/97f63b68-3f24-4442-b40b-6a5675430491.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775672920-2","https://blinkit.com/cn/organic-premium/baking-essentials/cid/175/946","Puramate Culinary Vanilla Essence","30 ml","₹40","","","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/82646a42-6aac-4931-a98c-a079e9fef3d8.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775672920-3","https://blinkit.com/cn/organic-premium/baking-essentials/cid/175/946","Puramate Corn Starch","100 g","₹33","","","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f67daa87-8f58-4bcc-9397-2db03e638cf4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775672920-4","https://blinkit.com/cn/organic-premium/baking-essentials/cid/175/946","Abbie's Panko Bread Crumbs","200 g","₹99","","","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/99f9def9-cd60-4541-a09a-ff400933a1f2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775672920-5","https://blinkit.com/cn/organic-premium/baking-essentials/cid/175/946","The Select Aisle Instant Dry Yeast","25 g","₹44","₹45","","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/103d8a76-9e2c-44bf-9c8b-4469bf364a17.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775672920-6","https://blinkit.com/cn/organic-premium/baking-essentials/cid/175/946","Weikfield Double Action Baking Powder","100 g","₹38","","","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/373f3241-a21b-43f1-8b27-2992b2580187.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775672920-7","https://blinkit.com/cn/organic-premium/baking-essentials/cid/175/946","Puramate Dark Compound Choco Chips","50 g","₹62","₹65","","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/64dc0068-38c0-4790-bab1-9fb6c661c035.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775672920-8","https://blinkit.com/cn/organic-premium/baking-essentials/cid/175/946","Weikfield Pure Multi-Purpose Baking Soda","100 g","₹36","","","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773209973109-348.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775672920-9","https://blinkit.com/cn/organic-premium/baking-essentials/cid/175/946","Puramate Bread Crumbs","75 g","₹57","₹60","5%
OFF","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8bdd05b0-3026-4301-a3b1-2b3ea8b0f6c1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775672920-10","https://blinkit.com/cn/organic-premium/baking-essentials/cid/175/946","Puramate Tooty Fruity Mix Sprinkles","100 g","₹45","","","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/47aec332-95dd-45d1-ba6c-809401b47a82.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
