web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775624799-1","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","Ganesh Premium Maida","1 kg","₹52","₹62","16%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1d0c6089-a15e-4f66-b531-dbcf172902dc.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-2","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","Ganesh Maida","500 g","₹31","₹33","6%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7f8c645b-3091-444b-b20d-805923ba911f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-3","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","Puramate Culinary Vanilla Essence","30 ml","₹40","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/82646a42-6aac-4931-a98c-a079e9fef3d8.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-4","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","Puramate Corn Starch","100 g","₹33","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f67daa87-8f58-4bcc-9397-2db03e638cf4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-5","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","Hershey's Chocolate Syrup","180 g","₹97","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6b69cf5a-5604-49a9-b274-2102a1cf2819.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-6","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","Weikfield Vanilla Flavor Custard Powder","100 g","₹42","₹45","6%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773209973109-328.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-7","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","Abbie's Panko Bread Crumbs","200 g","₹99","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/99f9def9-cd60-4541-a09a-ff400933a1f2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-8","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","Dabur Keora Water Essence","250 ml","₹72","₹75","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6cf3f214-dbc9-4fc1-abff-bdc4fe08d0d5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-9","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","The Select Aisle Instant Dry Yeast","25 g","₹44","₹45","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/103d8a76-9e2c-44bf-9c8b-4469bf364a17.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-10","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","Deer Brand Moghlai Meetha Attar Essence","13 g","₹60","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c5a5c87d-a7e8-49a1-a3dc-2c703261e7ec.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
