web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775703163-1","https://blinkit.com/cn/personal-care/bath-beauty-gifts/cid/163/710","Victoria's Secret Fragrance Mist (Pure Seduction)","250 ml","₹2,159","₹2,699","20%
OFF","ADD","17 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4f2bdb5b-b974-4b75-bbfc-da61f16c9637.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775703163-2","https://blinkit.com/cn/personal-care/bath-beauty-gifts/cid/163/710","Bella Vita Organic Women's Luxury Perfume Gift Set","4 x 20 ml","₹549","₹849","35%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770300964921-452.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775703163-3","https://blinkit.com/cn/personal-care/bath-beauty-gifts/cid/163/710","Faces Canada Ultime Pro Splash Mini Nail Paint Kit (Bold Essentials)","4 pcs","₹189","₹199","5%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771396342029-319.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775703163-4","https://blinkit.com/cn/personal-care/bath-beauty-gifts/cid/163/710","Yardley Women's Gift Set","4 pcs","₹480","₹599","19%
OFF","ADD","17 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1c0ccce5-9139-41d6-850e-20e74dfc4178.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775703163-5","https://blinkit.com/cn/personal-care/bath-beauty-gifts/cid/163/710","Victoria's Secret Fragrance Mist (Bare Vanilla)","250 ml","₹2,159","₹2,699","20%
OFF","ADD","17 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2fe36213-bc20-4ae2-9b07-9e1461a4b09b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775703163-6","https://blinkit.com/cn/personal-care/bath-beauty-gifts/cid/163/710","Engage Women's Luxury Perfume Gift Set","4 x 25 ml","₹641","₹999","35%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770300964921-777.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775703163-7","https://blinkit.com/cn/personal-care/bath-beauty-gifts/cid/163/710","Aqualogica Refresh On-the-Go Perfume Body Mist Gift Set","3 x 20 ml","₹522","₹599","12%
OFF","ADD","17 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/951e6383-9c45-44f4-a90c-43ad57f69346.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775703163-8","https://blinkit.com/cn/personal-care/bath-beauty-gifts/cid/163/710","Bella Vita Organic CEO Man Black Edition Gift Set","1 pack","₹949","₹1,399","32%
OFF","ADD","17 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c28c4de9-4c95-433b-92e1-d593e739da6d.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775703163-9","https://blinkit.com/cn/personal-care/bath-beauty-gifts/cid/163/710","Victoria's Secret Bombshell Fine Fragrance Mist (Fruity Floral)","250 ml","₹2,549","₹2,999","15%
OFF","ADD","17 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/010dccc0-e2ed-479f-bf66-38d94c88a77b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775703163-10","https://blinkit.com/cn/personal-care/bath-beauty-gifts/cid/163/710","Biotique Bath & Body Travel Kit","4 pcs","₹201","₹250","19%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9c962dba-b640-4992-a5bb-680d90d9ecf3.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
