web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775706377-1","https://blinkit.com/cn/personal-care/bathing/cid/163/5841","Skin Elements 2-In-1 Men's Body & Intimate Wash","500 ml","₹349","₹899","61%
OFF","ADD","20 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bbb766bc-04f0-4b70-9632-eeee5592075c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775706377-2","https://blinkit.com/cn/personal-care/bathing/cid/163/5841","Fiama Patchouli & Macadamia Shower Gel (with Skin Conditioners)","250 ml","₹99","₹199","50%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772772544327-615.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775706377-3","https://blinkit.com/cn/personal-care/bathing/cid/163/5841","Fiama Blackcurrant & Bearberry Radiant Glow Shower Gel","250 ml","₹109","₹149","26%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772772544327-673.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775706377-4","https://blinkit.com/cn/personal-care/bathing/cid/163/5841","Himalaya Neem & Turmeric Soap 125 g","125 g","₹60","","","ADD","11 mins","4 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5a87914e-c632-4541-a9a0-6c9d9fab778a.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775706377-5","https://blinkit.com/cn/personal-care/bathing/cid/163/5841","Axe Africa 3-in-1 Hair, Face & Body Wash","400 ml","₹190","₹380","50%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772523209442-142.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775706377-6","https://blinkit.com/cn/personal-care/bathing/cid/163/5841","Dove Cream Beauty Bathing Soap (3 x 125 g)","3 x 125 g","₹231","₹258","10%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1b526cdc-ef28-41a0-8424-cdce883b9293.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775706377-7","https://blinkit.com/cn/personal-care/bathing/cid/163/5841","Lux Black Orchid Scent & Juniper Oil","245 ml","₹99","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772772544327-1125.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775706377-8","https://blinkit.com/cn/personal-care/bathing/cid/163/5841","Lux French Rose & Almond Oil Body Wash","245 ml","₹99","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772772544327-1137.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775706377-9","https://blinkit.com/cn/personal-care/bathing/cid/163/5841","Fiama Blackcurrant & Bearberry Shower Gel (895 ml)","895 ml","₹269","₹500","46%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/240baece-e788-435c-a356-9a6a67bb9ca4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775706377-10","https://blinkit.com/cn/personal-care/bathing/cid/163/5841","Vivel Fragrant Body Wash (Lavender + Almond Oil)","400 ml","₹85","₹99","14%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772772544327-2310.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
