web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775678989-1","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Harpic Disinfectant Liquid Toilet Cleaner - (Original)","1 ltr","₹197","₹245","19%
OFF","ADD","20 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770705263225-1744.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678989-2","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Harpic Advanced Disinfectant Toilet Cleaner","600 ml","₹139","","","ADD","20 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772682797673-247.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678989-3","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Harpic Disinfectant Liquid Bathroom Cleaner (Lemon - 500 ml)","500 ml","₹120","","","ADD","20 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6d431daf-931b-400a-87c7-771989479e93.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678989-4","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Harpic Disinfectant Liquid Bathroom Cleaner (Lemon)","1 ltr","₹190","₹230","17%
OFF","ADD","20 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/21788b24-501d-41e9-9a4d-5570fc5ca452.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678989-5","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Kleenest Advanced Liquid Toilet Cleaner","500 ml","₹89","₹149","40%
OFF","ADD","20 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5ca8c4d7-ede5-4ecb-8384-261cad8723f9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678989-6","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Harpic Flushmatic In-Cister Toilet Cleaner Block (Marine)","100 g","₹171","₹190","10%
OFF","ADD","20 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9a2ba156-f1e7-47a2-bce2-1b199cc4bf1e.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678989-7","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Harpic Disinfectant Toilet Bleach (White and Shine)","500 ml","₹115","","","ADD","20 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c278fbe8-5bca-4dd0-927b-09a43770ab75.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678989-8","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Harpic Disinfectant Bathroom Cleaner (Floral)","500 ml","₹120","","","ADD","20 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b460855b-08ca-48da-855a-bc0a3af9dd59.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678989-9","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Godrej Spic Toilet Cleaner","525 ml","₹99","","","ADD","20 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775226565260-199.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678989-10","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","SaveMore Toilet Cleaner Liquid","500 ml","₹57","₹90","36%
OFF","ADD","20 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a270081f-68ce-438a-909d-5f44509f692b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678989-11","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Harpic Ultra 10X Bathroom Cleaner (Citrus Splash)","500 ml","₹149","","","ADD","20 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773373870128-654.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678989-12","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Harpic Hygienic Toilet Cleaner Block (Lavender)","26 g","₹96","₹99","","ADD","20 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d547905c-4e0f-4cac-8b0a-f98c56da7250.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678989-13","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Cif Power & Shine Bathroom Cleaner","700 ml","₹262","₹349","24%
OFF","ADD","20 mins","","","",""
"1775678989-14","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Harpic Flushmatic In-Cistern Toilet Cleaner Block (Citrus)","100 g","₹171","₹190","10%
OFF","ADD","20 mins","3 options","","",""
"1775678989-15","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Harpic Germ & Stain Blaster Disinfectant Toilet Cleaner (Citrus)","750 ml","₹164","₹199","17%
OFF","ADD","20 mins","","","",""
"1775678989-16","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Harpic Disinfectant Liquid Toilet Cleaner (Sparkling Lemon)","500 ml","₹115","","","ADD","20 mins","","","",""
"1775678989-17","https://blinkit.com/cn/cleaning-essentials/toilet-bathroom-cleaners/cid/18/987","Sani Fresh Ultra Shine Toilet Cleaner Buy 2 Get 1 Free","3 x 520 ml","₹206","₹260","20%
OFF","ADD","20 mins","2 options","","",""
