web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775626027-1","https://blinkit.com/cn/atta-rice-dal/besan-sooji-maida/cid/16/1166","Tata Sampann 100% Chana Dal Fine Besan/Gram Flour","₹111","₹149","25%
OFF","1 kg","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8c45d33c-250e-48f3-9ceb-419be8c4b984.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626027-2","https://blinkit.com/cn/atta-rice-dal/besan-sooji-maida/cid/16/1166","Ganesh Premium Maida","₹52","₹62","16%
OFF","1 kg","12 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1d0c6089-a15e-4f66-b531-dbcf172902dc.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626027-3","https://blinkit.com/cn/atta-rice-dal/besan-sooji-maida/cid/16/1166","Ganesh Sooji/Rava","₹14","","","200 g","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775553956612-379.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626027-4","https://blinkit.com/cn/atta-rice-dal/besan-sooji-maida/cid/16/1166","Ganesh Chana Besan","₹64","₹80","20%
OFF","500 g","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7d860081-a1cf-4b18-b823-54218ecfa9a7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626027-5","https://blinkit.com/cn/atta-rice-dal/besan-sooji-maida/cid/16/1166","Amul Organic Besan","₹88","₹92","","500 g","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/22092644-6ef2-453d-8af8-1124b235e504.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626027-6","https://blinkit.com/cn/atta-rice-dal/besan-sooji-maida/cid/16/1166","Ganesh Maida","₹31","₹33","6%
OFF","500 g","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7f8c645b-3091-444b-b20d-805923ba911f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626027-7","https://blinkit.com/cn/atta-rice-dal/besan-sooji-maida/cid/16/1166","Whole Farm Premium Maida","₹47","₹80","41%
OFF","1 kg","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a5a6b760-3126-4175-816b-93a846bb52ab.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626027-8","https://blinkit.com/cn/atta-rice-dal/besan-sooji-maida/cid/16/1166","Fortune 100% Chana Dal Besan","₹64","₹85","24%
OFF","500 g","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ebe3081d-cca4-441b-bf74-1c66afa74a5b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626027-9","https://blinkit.com/cn/atta-rice-dal/besan-sooji-maida/cid/16/1166","Fortune Maida","₹38","₹44","13%
OFF","500 g","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c2760781-1709-4eb4-82b3-7ebbda91fcbc.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626027-10","https://blinkit.com/cn/atta-rice-dal/besan-sooji-maida/cid/16/1166","Fortune Sooji","₹39","₹45","13%
OFF","500 g","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1e90ba14-1c45-4cc8-944d-6090c9d9a441.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
