web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775671890-1","https://blinkit.com/cn/organic-premium/beverages/cid/175/655","Moi Soi Popping Mango Boba Drink","330 ml","₹99","₹150","34%
OFF","17 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/43f6750a-10ef-498b-a52c-937ec90aef63.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671890-2","https://blinkit.com/cn/organic-premium/beverages/cid/175/655","Moi Soi Popping Grapes Boba Drink","330 ml","₹99","₹150","34%
OFF","17 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c944b7ee-038b-4565-8a95-e26081f31e42.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671890-3","https://blinkit.com/cn/organic-premium/beverages/cid/175/655","Coca-Cola Vanilla Soft Drink (320 ml)","320 ml","₹162","₹199","18%
OFF","17 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f26256c2-0e47-4c97-8056-83bf326171fa.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671890-4","https://blinkit.com/cn/organic-premium/beverages/cid/175/655","Moi Soi Popping Lychee Boba Drink","330 ml","₹99","₹150","34%
OFF","17 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2289ab35-bb12-416b-90ea-132a376250bc.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671890-5","https://blinkit.com/cn/organic-premium/beverages/cid/175/655","Moi Soi Popping Peach Boba Drink","330 ml","₹99","₹150","34%
OFF","17 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775476470900-113.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671890-6","https://blinkit.com/cn/organic-premium/beverages/cid/175/655","Moi Soi Popping Strawberry Boba Drink","330 ml","₹99","₹150","34%
OFF","17 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9e3cfaa7-e2f4-4b98-ab16-b12dcf6a3d7c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671890-7","https://blinkit.com/cn/organic-premium/beverages/cid/175/655","Sprite Lemon Plus + Zero Sugar Soft Drink","320 ml","₹168","₹220","23%
OFF","17 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8b85b46d-c8a4-47f3-bf0b-12df8610e384.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671890-8","https://blinkit.com/cn/organic-premium/beverages/cid/175/655","Fanta Orange Soft Drink (Zero Sugar)","330 ml","₹203","₹240","15%
OFF","17 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775562089317-256.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671890-9","https://blinkit.com/cn/organic-premium/beverages/cid/175/655","Coca-Cola Vanilla Soft Drink (Zero Sugar)","330 ml","₹181","₹220","17%
OFF","17 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775562089317-268.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775671890-10","https://blinkit.com/cn/organic-premium/beverages/cid/175/655","Fanta Tutti Frutti Soft Drink Zero Sugar","250 ml","₹176","₹220","20%
OFF","17 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/24654811-e8d4-4f28-817b-bc7417bb9030.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
