web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775592390-1","https://blinkit.com/cn/munchies/bhujia-mixtures/cid/1237/1178","Let's Try Namkeen Combo","6 x 28 g","₹58","₹90","35%
OFF","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2ed13c0f-b258-4206-91f1-99123f793209.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592390-2","https://blinkit.com/cn/munchies/bhujia-mixtures/cid/1237/1178","Mukharochak Sweet & Sour Chanachur Mixture Namkeen","200 g","₹65","","","ADD","17 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771214347138-532.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592390-3","https://blinkit.com/cn/munchies/bhujia-mixtures/cid/1237/1178","Mukharochak Lite Chivda Namkeen","200 g","₹55","","","ADD","17 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8670aaef-b185-4a2e-a1fe-974d7b9318cf.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592390-4","https://blinkit.com/cn/munchies/bhujia-mixtures/cid/1237/1178","Mukharochak Special Papri Chanachur Mixture Namkeen","200 g","₹65","","","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771214347138-613.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592390-5","https://blinkit.com/cn/munchies/bhujia-mixtures/cid/1237/1178","Haldiram's Prabhuji Bhujia","400 g","₹116","₹120","","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b61fb652-4e53-4581-a50b-5eedb5e3a2df.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592390-6","https://blinkit.com/cn/munchies/bhujia-mixtures/cid/1237/1178","Haldiram's Prabhuji Bhujia","200 g","₹61","₹62","","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/68dfb1b6-44ef-45a8-a49e-abd290fc1829.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592390-7","https://blinkit.com/cn/munchies/bhujia-mixtures/cid/1237/1178","Mukharochak Basmati Chaal Bhaja Rice Cracker Namkeen","200 g","₹65","","","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/957a3120-a8d7-4c14-80ba-61a06207bb29.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592390-8","https://blinkit.com/cn/munchies/bhujia-mixtures/cid/1237/1178","Mukharochak Mirchi Jhal Chanachur Mixture Namkeen","200 g","₹65","","","ADD","17 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771214347138-563.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592390-9","https://blinkit.com/cn/munchies/bhujia-mixtures/cid/1237/1178","Yellow Diamond Aloo Bhujia","300 g","₹81","₹90","10%
OFF","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1769665649676-512.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775592390-10","https://blinkit.com/cn/munchies/bhujia-mixtures/cid/1237/1178","Bikano All Time Mixture Namkeen","200 g","₹65","","","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771214347138-817.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
