web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775584019-1","https://blinkit.com/cn/dairy-breakfast/bread-pav/cid/14/953","English Oven Sandwich White Bread","400 g","₹33","₹36","8%
OFF","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fb337791-9328-4c38-a2ee-bc3bb20d204a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584019-2","https://blinkit.com/cn/dairy-breakfast/bread-pav/cid/14/953","Moreish Classic White Bread","400 g","₹36","","","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1f1a15af-1c74-460b-81eb-9fecf9bbda7e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584019-3","https://blinkit.com/cn/dairy-breakfast/bread-pav/cid/14/953","Modern 100% Whole Wheat Bread (Zero Maida)","400 g","₹45","","","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d530857b-40c0-4b59-9edf-c9ff49a7e597.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584019-4","https://blinkit.com/cn/dairy-breakfast/bread-pav/cid/14/953","Modern Family Special White Bread","200 g","₹18","","","ADD","17 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7a3f429f-d253-4e3d-9a8e-520f48537754.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584019-5","https://blinkit.com/cn/dairy-breakfast/bread-pav/cid/14/953","English Oven Zero Maida 100% Whole Wheat Bread","400 g","₹40","₹45","11%
OFF","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6e663dbf-145d-497c-af95-954c7b90049f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584019-6","https://blinkit.com/cn/dairy-breakfast/bread-pav/cid/14/953","Modern Multigrain Bread","400 g","₹55","","","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/37495a7e-8fe3-4769-8fda-ed8fc0e3fbe1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584019-7","https://blinkit.com/cn/dairy-breakfast/bread-pav/cid/14/953","Modern Hi-Fiber Brown Bread","400 g","₹38","","","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b94d99e2-fc2c-4fa6-b910-46850a3b0289.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584019-8","https://blinkit.com/cn/dairy-breakfast/bread-pav/cid/14/953","Modern Sandwich Supreme White Bread","450 g","₹45","","","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/271f6199-e991-40a4-8d63-c7a77764be9d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584019-9","https://blinkit.com/cn/dairy-breakfast/bread-pav/cid/14/953","Britannia Milk Bread","400 g","₹45","","","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772698047485-184.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584019-10","https://blinkit.com/cn/dairy-breakfast/bread-pav/cid/14/953","Moreish Sandwich Atta / Wheat Bread","200 g","₹32","","","ADD","17 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/880ddfd6-865d-4ba6-af73-2aee5b597fe7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
