web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775585072-1","https://blinkit.com/cn/dairy-breakfast/breakfast-mixes/cid/14/1612","MTR Dosa Breakfast Mix","500 g","₹130","₹138","5%
OFF","23 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773048060308-706.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775585072-2","https://blinkit.com/cn/dairy-breakfast/breakfast-mixes/cid/14/1612","MTR 3 Minute Poha Breakfast Mix","60 g","₹27","","","23 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b0dfe9c1-ac5f-4f39-ac60-58b544138a55.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775585072-3","https://blinkit.com/cn/dairy-breakfast/breakfast-mixes/cid/14/1612","MTR 3 Minute Upma Mix - Pack of 5","300 g","₹116","₹133","12%
OFF","23 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4ac7b3e3-3555-4a7f-8039-440e2bea7dd6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775585072-4","https://blinkit.com/cn/dairy-breakfast/breakfast-mixes/cid/14/1612","MTR 3 Minute Veggie Upma Breakfast Mix","60 g","₹27","","","23 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fd461d60-7c89-42db-8dce-3a2902c4b41a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775585072-5","https://blinkit.com/cn/dairy-breakfast/breakfast-mixes/cid/14/1612","MTR 3 Minute Khatta Meetha Poha Breakfast Mix","60 g","₹27","","","23 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1e4a5274-dfc7-4667-9c04-4ae01fc9d554.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775585072-6","https://blinkit.com/cn/dairy-breakfast/breakfast-mixes/cid/14/1612","Gits Karaisutir Bengali Kachori Instant Mix","100 g","₹55","₹57","","23 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4149f091-c9c6-4fea-9dc6-d4081e432264.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775585072-7","https://blinkit.com/cn/dairy-breakfast/breakfast-mixes/cid/14/1612","Tata Soulfull Mast Masala Oats With 25% Millets, Non sticky","500 g","₹205","₹249","17%
OFF","23 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/adbee24e-de7c-46b3-a72e-5dc288245277.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775585072-8","https://blinkit.com/cn/dairy-breakfast/breakfast-mixes/cid/14/1612","MTR Masala Rava Idli Breakfast Mix","500 g","₹126","₹133","5%
OFF","23 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773385515396-22.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775585072-9","https://blinkit.com/cn/dairy-breakfast/breakfast-mixes/cid/14/1612","MTR Sambhar Instant Mix","180 g","₹98","","","23 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770294054402-25.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775585072-10","https://blinkit.com/cn/dairy-breakfast/breakfast-mixes/cid/14/1612","True Elements Wholegrain Premium Quinoa","1 kg","₹223","₹650","65%
OFF","23 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771921243713-19.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
