web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775584496-1","https://blinkit.com/cn/dairy-breakfast/butter-more/cid/14/952","Amul Salted Butter","₹58","","","100 g","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/613787ac-f983-4cfb-b534-e219c8d47b39.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584496-2","https://blinkit.com/cn/dairy-breakfast/butter-more/cid/14/952","Amul Salted Butter (200 g)","₹118","","","200 g","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/03af3633-5fa5-438f-bece-145ed114d279.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584496-3","https://blinkit.com/cn/dairy-breakfast/butter-more/cid/14/952","Amul Garlic & Herbs Butter","₹66","","","100 g","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a3ca7f9f-ad6d-4500-96bd-dbfa419e8f48.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584496-4","https://blinkit.com/cn/dairy-breakfast/butter-more/cid/14/952","Amul Salted Butter (Chiplets)","₹70","","","100 g","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2d9a6244-1350-4879-83b5-651b78250f50.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584496-5","https://blinkit.com/cn/dairy-breakfast/butter-more/cid/14/952","Mother Dairy Salted Butter","₹58","","","100 g","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/627b47c7-e3eb-4f9e-a6eb-7662954c7627.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584496-6","https://blinkit.com/cn/dairy-breakfast/butter-more/cid/14/952","Nutralite DoodhShakti Probiotic Butter","₹55","₹60","8%
OFF","100 g","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/124dfc87-32f7-4fdd-a20e-0b8d3601996c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584496-7","https://blinkit.com/cn/dairy-breakfast/butter-more/cid/14/952","Amul White Unsalted Butter","₹61","","","100 g","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/22b510c6-e525-431b-9f05-b4c97c296dc1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584496-8","https://blinkit.com/cn/dairy-breakfast/butter-more/cid/14/952","Mother Dairy Salted Butter (500 g)","₹285","","","500 g","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e96cc467-96c4-4494-80a4-8f140d141882.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584496-9","https://blinkit.com/cn/dairy-breakfast/butter-more/cid/14/952","Delicious Cholesterol Free Fat Spread","₹105","","","500 g","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/03a1f0f7-c12c-42e6-8006-1d8a3b5cc14e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584496-10","https://blinkit.com/cn/dairy-breakfast/butter-more/cid/14/952","Amul Lite Milk Fat Spread","₹218","","","500 g","17 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1f93b10f-05c1-4d84-9347-68f480edee4c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
