web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775623740-1","https://blinkit.com/cn/sweet-tooth/cakes-rolls/cid/9/108","Britannia Gobbles Fruity Fun Slice Cake (Veg)","60 g","₹25","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775470476025-20.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623740-2","https://blinkit.com/cn/sweet-tooth/cakes-rolls/cid/9/108","Britannia Cake Fudge it Chocolate Brownie","120 g","₹54","₹80","32%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bf047e2c-33e7-4a17-9b94-7b0f0bb7141e.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623740-3","https://blinkit.com/cn/sweet-tooth/cakes-rolls/cid/9/108","Bauli Moonfils Chocolate Crème Croissant","45 g","₹17","₹20","15%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d50f1372-cac4-463d-8ac7-7eb20f0fe550.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623740-4","https://blinkit.com/cn/sweet-tooth/cakes-rolls/cid/9/108","Britannia Vanilla Choco Marble Slice Cake","110 g","₹28","₹30","6%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770904254890-334.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623740-5","https://blinkit.com/cn/sweet-tooth/cakes-rolls/cid/9/108","Britannia Nut & Raisin Romance Slice Cake","140 g","₹62","₹70","11%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f1a18da5-f550-4d3e-b11b-8eb3c58669b9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623740-6","https://blinkit.com/cn/sweet-tooth/cakes-rolls/cid/9/108","Cadbury Brownie","114 g","₹85","₹100","15%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ce1b3fb7-d513-4c8a-9cf4-17a4ca5456b1.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623740-7","https://blinkit.com/cn/sweet-tooth/cakes-rolls/cid/9/108","Winkies Chocolate Swiss Roll","165 g","₹86","₹90","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/690fa5ec-9e0b-4600-b849-36154c5aeec6.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623740-8","https://blinkit.com/cn/sweet-tooth/cakes-rolls/cid/9/108","Britannia Choco Chill Slice Cake","110 g","₹30","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7df3d00a-02fb-4690-870b-09a6d8dc8a3e.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623740-9","https://blinkit.com/cn/sweet-tooth/cakes-rolls/cid/9/108","Awsum Better Bakes Blueberry Muffin","50 g","₹35","₹50","30%
OFF","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1bad927b-a1ae-42a0-9220-98321fd9dc65.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623740-10","https://blinkit.com/cn/sweet-tooth/cakes-rolls/cid/9/108","Sunfeast Dark Fantasy Yumfills Choco Pie","242 g","₹81","₹160","49%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771679171632-81.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
