web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775623648-1","https://blinkit.com/cn/sweet-tooth/candies-gum/cid/9/1930","Orbit Spearmint Flavour Sugar Free Chewing Gum","19.8 g","₹45","","","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775188419700-135.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623648-2","https://blinkit.com/cn/sweet-tooth/candies-gum/cid/9/1930","Nestle Polo Mint Candies","50 pcs","₹45","₹50","10%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/63f3e7b4-0e07-4819-ae41-3b92cbc1d881.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623648-3","https://blinkit.com/cn/sweet-tooth/candies-gum/cid/9/1930","Happydent Wave Sugarfree Mint Chewing Gum 18 Pcs","28.9 g","₹46","₹50","8%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4f10d180-8987-4870-9c5a-04635e58005b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623648-4","https://blinkit.com/cn/sweet-tooth/candies-gum/cid/9/1930","Candyman Choco Double Eclair Eclair - Celebration Pack","262.5 g","₹54","₹100","46%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773385515396-182.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623648-5","https://blinkit.com/cn/sweet-tooth/candies-gum/cid/9/1930","Alpenliebe Grande with Choco Delight Eclair","120 g","₹46","₹50","8%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773373870128-386.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623648-6","https://blinkit.com/cn/sweet-tooth/candies-gum/cid/9/1930","Happydent Sugar Free Wave Fruit Flavour Chewing Gum","28.9 g","₹46","₹50","8%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773373870128-407.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623648-7","https://blinkit.com/cn/sweet-tooth/candies-gum/cid/9/1930","Kopiko Cappuccino Candy - Family Pack","140 g","₹43","₹47","8%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/498246b3-ac58-4001-8b0f-4498d01bfd2d.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623648-8","https://blinkit.com/cn/sweet-tooth/candies-gum/cid/9/1930","Happydent White Spearmint Sugar Free Chewing Gum","24.2 g","₹46","₹50","8%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773373870128-417.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623648-9","https://blinkit.com/cn/sweet-tooth/candies-gum/cid/9/1930","FunPops Freeze The Moment Ice Pops","12 x 60 ml","₹240","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1769682665949-488.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623648-10","https://blinkit.com/cn/sweet-tooth/candies-gum/cid/9/1930","Alpenliebe Creamfills Butter Toffee","140 g","₹54","₹55","","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773373870128-330.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623648-11","https://blinkit.com/cn/sweet-tooth/candies-gum/cid/9/1930","Chupa Chups Sour Belt Mixed Fruit Sour Candy","57.6 g","₹29","₹30","","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6946d3a7-80f3-4a27-859d-65696c7af08b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
