web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775623291-1","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Snickers Peanut Nougat & Caramel Chocolate Filled Bar","40 g","₹45","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773139259592-457.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-2","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Nestle KitKat 4 Fingers Choco Coated Wafer Bar","38.5 g","₹30","","","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775469517019-153.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-3","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Amul Dark Chocolate Bar","35 g","₹45","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771595609969-1774.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-4","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury Dairy Milk Milkinis Milk Chocolate Bar","34 g","₹36","","","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773811093462-102.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-5","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Snickers Almond Chocolate Filled Bar","45 g","₹67","₹70","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775579856506-4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-6","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury Dairy Milk Chocolate Bar","26 g","₹26","","","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774424113908-152.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-7","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury Dairy Milk Silk Oreo Milk Chocolate Bar","58.5 g","₹98","","","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771395208762-1276.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-8","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Nestle Munch Max Choco Coated Crunchy Wafer Bar","38.5 g","₹20","","","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775469517019-186.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-9","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury Bournville Rich Cocoa 70% Dark Chocolate Bar","75 g","₹135","₹150","10%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771598525494-212.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-10","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury Bournville Fruit & Nut Dark Chocolate Bar","75 g","₹124","₹134","7%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771595609969-935.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-11","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Nestle Milkybar Creamy Milky Treat","47.2 g","₹40","","","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771595609969-1988.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-12","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Kinder Joy (Pink)","20 g","₹45","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775039083845-439.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-13","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Nestle KitKat Choco-Coated Wafer Pops","32 g","₹50","","","ADD","12 mins","","",""
"1775623291-14","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury 5 Star Chocolate Filled Bar","35.2 g","₹20","","","ADD","12 mins","3 options","",""
"1775623291-15","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury Dairy Milk Milk Chocolate Bar Family Pack","112 g","₹110","₹125","12%
OFF","ADD","12 mins","2 options","",""
"1775623291-16","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Nestle Munch Max Nuts Double Choco Coated Wafer Bar","37.5 g","₹25","","","ADD","12 mins","","",""
"1775623291-17","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury Dairy Milk Milk Chocolate Bar","46 g","₹51","₹53","","ADD","12 mins","2 options","",""
"1775623291-18","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury Gems Duo Chocolates Pack","24.97 g","₹20","","","ADD","12 mins","3 options","",""
"1775623291-19","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury Bournville Cranberry Dark Chocolate Bar","78 g","₹121","₹134","9%
OFF","ADD","12 mins","2 options","",""
"1775623291-20","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury Dairy Milk Silk Desserts Brownie Milk Chocolate Bar","70 g","₹101","₹107","5%
OFF","ADD","12 mins","2 options","",""
"1775623291-21","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury Dairy Milk Silk Milk Chocolate Bar","60 g","₹102","","","ADD","12 mins","2 options","",""
"1775623291-22","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Hershey's Cookies n Creme White Chocolate Bar","38 g","₹59","₹62","","ADD","12 mins","","",""
"1775623291-23","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Nestle Milkybar Butterscotch Bite White Chocolate Bar","45 g","₹50","","","ADD","12 mins","","",""
"1775623291-24","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury Dairy Milk Fruit & Nut Small Milk Chocolate Bar","36 g","₹49","","","ADD","12 mins","3 options","",""
"1775623291-25","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury 5 Star Filled Bar Chocolate Pack","96 g","₹50","₹53","5%
OFF","ADD","12 mins","2 options","",""
"1775623291-26","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Kinder Joy Super Mario Shaped Chocolates","20 g","₹50","","","ADD","12 mins","","",""
"1775623291-27","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Kinder Schoko Bons Crispy","67.2 g","₹127","₹135","5%
OFF","ADD","12 mins","","",""
"1775623291-28","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Amul I Love You Fruit 'n' Nut Dark Chocolate Bar","150 g","₹200","","","ADD","12 mins","","",""
"1775623291-29","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Amul Dark Chocolate Bar (No Added Sugar)","35 g","₹45","","","ADD","12 mins","2 options","",""
"1775623291-30","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Amul Fruit & Nut Dark Chocolate Bar","150 g","₹180","","","ADD","12 mins","","",""
"1775623291-31","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Nestle KitKat Choco-Coated Wafer Pops","32 g","₹50","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771904678029-745.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-32","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury 5 Star Chocolate Filled Bar","35.2 g","₹20","","","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772169697746-55.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-33","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury Dairy Milk Milk Chocolate Bar Family Pack","112 g","₹110","₹125","12%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774421103172-67.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-34","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Nestle Munch Max Nuts Double Choco Coated Wafer Bar","37.5 g","₹25","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775469517019-212.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-35","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury Dairy Milk Milk Chocolate Bar","46 g","₹51","₹53","","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774424113908-35.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623291-36","https://blinkit.com/cn/sweet-tooth/chocolates/cid/9/944","Cadbury Gems Duo Chocolates Pack","24.97 g","₹20","","","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771595609969-1458.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
