web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775679345-1","https://blinkit.com/cn/cleaning-essentials/cleaning-tools/cid/18/1082","Gala Chandra Kharata Broom / Jhadu (Plastic)","1 unit","₹124","₹125","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775476470900-4.png",""
"1775679345-2","https://blinkit.com/cn/cleaning-essentials/cleaning-tools/cid/18/1082","Gala Leader Plus Floor Wiper with Replaceable Handle","1 unit","₹241","₹265","9%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/118fa21f-ed9a-431c-88a2-d583c69756d2.png",""
"1775679345-3","https://blinkit.com/cn/cleaning-essentials/cleaning-tools/cid/18/1082","Gala No Dust Floor Broom, Jhadu (Plastic & Grass)","1 unit","₹175","₹200","12%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775226565260-316.png",""
"1775679345-4","https://blinkit.com/cn/cleaning-essentials/cleaning-tools/cid/18/1082","Ratan Brooms Broom / Jhadu (Grass)","1 unit","₹99","₹120","17%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f36bf75b-00fe-448c-aa46-e895d2995fb2.png",""
"1775679345-5","https://blinkit.com/cn/cleaning-essentials/cleaning-tools/cid/18/1082","Scotch Brite Cotton Mop","1 unit","₹249","₹375","33%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f4746c3b-1fbc-40f6-a428-7367b66d81cf.png",""
"1775679345-6","https://blinkit.com/cn/cleaning-essentials/cleaning-tools/cid/18/1082","Gala T-Mop Floor Mop Cotton Long Handle Paucha (Cotton)","1 unit","₹279","₹280","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770788511345-351.png",""
"1775679345-7","https://blinkit.com/cn/cleaning-essentials/cleaning-tools/cid/18/1082","Gala Duster (Microfiber, Blue)","1 pc","₹180","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775551637536-272.png",""
"1775679345-8","https://blinkit.com/cn/cleaning-essentials/cleaning-tools/cid/18/1082","Softspun Microfiber Cloth (Blue & Orange)","2 pcs","₹179","₹302","40%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/94c81a66-305f-41af-b51b-c87151a2e0d1.png",""
"1775679345-9","https://blinkit.com/cn/cleaning-essentials/cleaning-tools/cid/18/1082","Gala Dustpan for Floor Cleaning (Plastic, Red)","1 pc","₹90","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775226565260-18.png",""
"1775679345-10","https://blinkit.com/cn/cleaning-essentials/cleaning-tools/cid/18/1082","Gala Super Hockey Toilet Brush (Multicolour)","1 pc","₹110","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775551637536-159.png",""
"1775679345-11","https://blinkit.com/cn/cleaning-essentials/cleaning-tools/cid/18/1082","Gala Toilet Brush Double Hockey Shaped (Plastic, Multicolour)","1 pc","₹180","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/446903e2-12a2-488b-962d-9e4832ae7b81.png",""
"1775679345-12","https://blinkit.com/cn/cleaning-essentials/cleaning-tools/cid/18/1082","Gala Small 2.1 ft. Floor & Bathroom Wiper","1 unit","₹235","₹250","6%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/505566bd-e55f-4da5-b87b-4053de6bdcc8.png",""
"1775679345-13","https://blinkit.com/cn/cleaning-essentials/cleaning-tools/cid/18/1082","Gala No Dust Broom / Jhadu (XL, Plastic Fibre)","1 unit","₹204","₹210","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774357330113-118.png",""
"1775679345-14","https://blinkit.com/cn/cleaning-essentials/cleaning-tools/cid/18/1082","Gala Double Hockey Toilet Brush with Container (Plastic, Multicolour)","1 pc","₹280","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/931cf4de-8a0f-4473-888e-24eb596712d6.png",""
"1775679345-15","https://blinkit.com/cn/cleaning-essentials/cleaning-tools/cid/18/1082","Humboldt Dustbin (5L, 10L) (Stainless Steel, Chrome)","2 pcs","₹989","₹2,999","67%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/49e313e1-6e17-4087-ab9b-6ef0ca4c1600.png",""
