web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775625142-1","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Bevzilla Hazelnut Flavoured Instant Coffee Sachets","45 pcs","₹182","₹199","8%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/62508de8-88d9-4806-adbf-27629b0d6679.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775625142-2","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Nescafe Classic - 100% Pure Instant Coffee Powder","72 pcs","₹144","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9d86f308-4ace-4263-bd44-3da5bf1e42dc.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775625142-3","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Nescafe Classic Pure Instant Coffee","30 pcs","₹150","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770961474120-255.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775625142-4","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Nescafe Classic - 100% Pure Instant Coffee Powder - 24 g","24 g","₹124","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/07e1f443-9693-41ed-82a8-59e988aa9114.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775625142-5","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Bevzilla Assorted Instant Coffee Sachets","44 pcs","₹180","₹199","9%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775023416545-449.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775625142-6","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Nescafe Classic - 100% Pure Instant Coffee Powder - 45 g","45 g","₹235","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/36410997-f69f-4225-9acc-3ad80421a249.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775625142-7","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Colombian Brew Coffee - Original Instant Coffee Sachets","40 pcs","₹99","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/176e4b30-1556-47c1-8bb4-22ca41947b38.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775625142-8","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Nescafe Classic - 100% Pure Instant Coffee Powder","90 g","₹353","₹445","20%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/49d22375-ee45-44f2-8b7a-474f7249438a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775625142-9","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Bevzilla Classic Instant Coffee Powder Sachets","60 pcs","₹99","₹130","23%
OFF","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774255119412-757.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775625142-10","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Tata Coffee Grand Classic- Instant Coffee","50 g","₹142","₹156","8%
OFF","ADD","12 mins","4 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8c440d81-4efd-40c9-9218-af5a3b37d780.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775625142-11","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Davidoff Rich Aroma Instant Coffee 10/12 Intensity","100 g","₹750","₹949","20%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/72cb7953-5370-4c8e-9eb9-04a3f804ac63.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775625142-12","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Nescafe Gold Blend Premium Freeze Dried Instant Coffee","50 g","₹399","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/08ea0ced-f128-437b-8316-28a139a279cd.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775625142-13","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Tata Coffee Grand Premium Instant Coffee","45 g","₹189","₹209","9%
OFF","ADD","12 mins","2 options","","",""
"1775625142-14","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Nescafe Classic - 100% Pure Instant Coffee Powder - 45 g","45 g","₹230","","","ADD","12 mins","","","",""
"1775625142-15","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Continental Strong Instant Coffee","50 g","₹80","₹155","48%
OFF","ADD","12 mins","","","",""
"1775625142-16","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Tata Coffee Grand Premium - Instant Coffee","90 g","₹360","₹418","13%
OFF","ADD","12 mins","","","",""
"1775625142-17","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Tata Coffee Grand Classic Instant Coffee","45 g","₹151","₹160","5%
OFF","ADD","12 mins","3 options","","",""
"1775625142-18","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Tata Coffee Gold 100% Pure Instant Coffee (Original)","50 g","₹348","₹400","13%
OFF","ADD","12 mins","2 options","","",""
"1775625142-19","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Bru Instant Coffee","150 g","₹360","₹400","10%
OFF","ADD","12 mins","","","",""
"1775625142-20","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Sleepy Owl Assorted Instant Coffee Travel Pack","10 pcs","₹99","₹125","20%
OFF","ADD","12 mins","","","",""
"1775625142-21","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Bru Gold Freeze Dried Hazelnut Instant Coffee","55 g","₹315","₹350","10%
OFF","ADD","12 mins","","","",""
"1775625142-22","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Nescafe Gold Blend - Premium Freeze Dried Instant Coffee","100 g","₹662","₹755","12%
OFF","ADD","12 mins","","","",""
"1775625142-23","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Bru Instant Coffee (50 g)","50 g","₹270","","","ADD","12 mins","","","",""
"1775625142-24","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Bru Gold Freeze Dried Caramel Instant Coffee","55 g","₹315","₹350","10%
OFF","ADD","12 mins","","","",""
"1775625142-25","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Davidoff Espresso 57 Instant Coffee 11/12 Intensity","100 g","₹790","₹949","16%
OFF","ADD","12 mins","","","",""
"1775625142-26","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Continental Xtra Instant Coffee","50 g","₹81","₹160","49%
OFF","ADD","12 mins","","","",""
"1775625142-27","https://blinkit.com/cn/tea-coffee-health-drinks/coffee/cid/12/1322","Nescafe Choco Mocha Coffee Premix (5 Sachets)","5 pcs","₹220","","","ADD","12 mins","","","",""
