web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775590549-1","https://blinkit.com/cn/cold-drinks-juices/cold-coffee-ice-tea/cid/332/1953","Sleepy Owl Classic Cold Coffee Can","230 ml","₹99","₹115","13%
OFF","17 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773747390518-250.png?bg_token=Colour%2Fsurface%2F00FFFFFF","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775590549-2","https://blinkit.com/cn/cold-drinks-juices/cold-coffee-ice-tea/cid/332/1953","Amul Kool Cafe Milk 'n' Coffee Flavoured Milk (Can)","200 ml","₹35","","","17 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/66751334-2a0b-4f91-823a-bb76fc79363f.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775590549-3","https://blinkit.com/cn/cold-drinks-juices/cold-coffee-ice-tea/cid/332/1953","Nescafe Cafe Style Iced Latte","170 ml","₹50","","","17 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/adde6e4d-228e-4274-99ff-6a3b5596e543.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775590549-4","https://blinkit.com/cn/cold-drinks-juices/cold-coffee-ice-tea/cid/332/1953","Nestea Ice Tea Premix - Lemon Flavour","400 g","₹198","₹220","10%
OFF","17 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a235ae62-1ed4-4e26-933a-9113a3777120.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775590549-5","https://blinkit.com/cn/cold-drinks-juices/cold-coffee-ice-tea/cid/332/1953","Sleepy Owl Hazelnut Cold Coffee Can","230 ml","₹99","₹115","13%
OFF","17 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772548879776-26.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775590549-6","https://blinkit.com/cn/cold-drinks-juices/cold-coffee-ice-tea/cid/332/1953","Moi Soi Popping Grapes Boba Drink","330 ml","₹99","₹150","34%
OFF","17 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c944b7ee-038b-4565-8a95-e26081f31e42.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775590549-7","https://blinkit.com/cn/cold-drinks-juices/cold-coffee-ice-tea/cid/332/1953","Moi Soi Popping Mango Boba Drink","330 ml","₹99","₹150","34%
OFF","17 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/43f6750a-10ef-498b-a52c-937ec90aef63.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775590549-8","https://blinkit.com/cn/cold-drinks-juices/cold-coffee-ice-tea/cid/332/1953","Jade Forest Iced Tea - Berry Blush","300 ml","₹64","₹65","","17 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a725d074-f291-4af0-bbf2-33ccbbece245.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775590549-9","https://blinkit.com/cn/cold-drinks-juices/cold-coffee-ice-tea/cid/332/1953","Sleepy Owl French Vanilla Cold Coffee Can","230 ml","₹99","₹115","13%
OFF","17 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773747390518-264.png?bg_token=Colour%2Fsurface%2F00FFFFFF","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775590549-10","https://blinkit.com/cn/cold-drinks-juices/cold-coffee-ice-tea/cid/332/1953","Nescafe Cafe Style Vietnamese Latte Cold Coffee","200 ml","₹75","","","17 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770103632010-396.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
