web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775590060-1","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Hershey's Chocolate Syrup","1.3 kg","₹298","₹400","25%
OFF","10 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9000be74-34a1-4113-914b-33581103a600.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590060-2","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Hershey's Chocolate Syrup","180 g","₹97","","","10 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6b69cf5a-5604-49a9-b274-2102a1cf2819.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590060-3","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Hitkary Aam Panna Sharbat","700 ml","₹195","₹205","","10 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772432009525-978.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590060-4","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Hamdard Rooh Afza Rose Sharbat","750 ml","₹165","","","10 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770109213917-2.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590060-5","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Hershey's Strawberry Syrup","180 g","₹97","₹99","","10 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/841c550d-d3ba-4055-8560-59530dc7c9d1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590060-6","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Kissan Mango Squash","750 ml","₹164","","","10 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f30606d4-5a13-46f6-b27d-4f03d5ca5d78.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590060-7","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Hommade Lemoneez Syrup","250 ml","₹81","₹85","","10 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/12c99133-f439-46ff-883b-3055f5ee4019.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590060-8","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Tang Instant Drink Mix - Mango","500 g","₹138","₹150","8%
OFF","10 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773396100077-357.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590060-9","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Hershey's Chocolate Syrup","600 g","₹209","₹222","5%
OFF","10 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9413c7a0-d4b5-456b-b442-ea56cf33415e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590060-10","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Glucon-D Nimbu Pani Instant Glucose Energy Drink","1 kg","₹317","₹409","22%
OFF","10 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774255119412-324.png?bg_token=Colour%2Fsurface%2F00FFFFFF","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590060-11","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Rasna Fruit Plus Alphonso Mango Drink Mix (32 Glasses)","45 g","₹47","","","10 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775553956612-47.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590060-12","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Kissan Lemon Squash","750 ml","₹164","","","10 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ca4f4193-6896-4b68-9943-c25f0aa2a3f0.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590060-13","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Orika Jaljeera Lemonade Drink Mix","10 x 19 g","₹91","₹140","35%
OFF","10 mins","ADD","","","",""
"1775590060-14","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Tang Instant Drink Mix - Orange Flavour","500 g","₹138","₹150","8%
OFF","10 mins","ADD","","","",""
"1775590060-15","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Rasna Insta Mango Drink Mix","750 g","₹114","₹300","62%
OFF","10 mins","ADD","","","",""
"1775590060-16","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Glucon-D Regular Instant Glucose Energy Drink","1 kg","₹234","₹249","6%
OFF","10 mins","ADD","2 options","","",""
"1775590060-17","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Tang Instant Drink Mix (Orange Flavour)","750 g","₹186","₹249","25%
OFF","10 mins","ADD","","","",""
"1775590060-18","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Tang Instant Drink Mix - Lemon (500 g)","500 g","₹138","₹150","8%
OFF","10 mins","ADD","","","",""
"1775590060-19","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Orika Masala Lemonade Drink Mix","10 x 19 g","₹91","₹140","35%
OFF","10 mins","ADD","","","",""
"1775590060-20","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Rasna Fruit Fun Nagpur Orange Drink Mix (32 Glasses)","1 pack","₹50","","","10 mins","ADD","","","",""
"1775590060-21","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Rasna Fruit Plus Florida Orange Drink Mix","750 g","₹114","₹300","62%
OFF","10 mins","ADD","2 options","","",""
"1775590060-22","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Orika Kacha Aam & Herbs Lemonade Drink Mix","10 x 19 g","₹91","₹136","33%
OFF","10 mins","ADD","","","",""
"1775590060-23","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Rasna Fruit Plus Nimbu Pani Drink Mix","500 g","₹138","₹160","13%
OFF","10 mins","ADD","","","",""
"1775590060-24","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Ganesh Kesaria Thandai Syrup","700 ml","₹306","₹335","8%
OFF","10 mins","ADD","","","",""
"1775590060-25","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Abbie's Pure Maple Syrup","250 ml","₹975","","","10 mins","ADD","","","",""
"1775590060-26","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Hitkary Pista Badam Elaichi Thandai Mix","200 g","₹94","₹147","36%
OFF","10 mins","ADD","","","",""
"1775590060-27","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Jimmy's Kesar Thandai","200 ml","₹70","","","10 mins","ADD","3 options","","",""
"1775590060-28","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Hitkary Shahi Khus Sharbat","700 ml","₹185","₹195","5%
OFF","10 mins","ADD","","","",""
"1775590060-29","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Hitkary Orange Frenzy Sharbat","700 ml","₹195","₹205","","10 mins","ADD","","","",""
"1775590060-30","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Guruji Kesaria Thandai Syrup","700 ml","₹335","₹340","","10 mins","ADD","","","",""
"1775590060-31","https://blinkit.com/cn/cold-drinks-juices/concentrates-syrups/cid/332/109","Orika Jaljeera Lemonade Drink Mix","10 x 19 g","₹91","₹140","35%
OFF","10 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/cd429e76-c89c-412d-bd0f-2d221cf0c4ef.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
