web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775624238-1","https://blinkit.com/cn/bakery-biscuits/cookies/cid/888/28","Britannia Pure Magic Choco Frames Harry Potter Biscuit","50 g","₹50","₹55","9%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/23bcccf9-04c0-4907-be96-9ab44a145818.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624238-2","https://blinkit.com/cn/bakery-biscuits/cookies/cid/888/28","Sunfeast Mom's Magic Shines Butter Cookies","128 g","₹29","₹30","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771667792511-584.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624238-3","https://blinkit.com/cn/bakery-biscuits/cookies/cid/888/28","Hide & Seek Chocolate Chip Cookies","200 g","₹48","₹60","20%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/53bc642c-3808-4c4b-8f9c-3d1724ac19b5.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624238-4","https://blinkit.com/cn/bakery-biscuits/cookies/cid/888/28","Mio Amore Tea Time Puff","150 g","₹44","","","ADD","10 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f4d6328a-b8c8-42c5-a7ff-966c5985ce4b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624238-5","https://blinkit.com/cn/bakery-biscuits/cookies/cid/888/28","Sunfeast Mom's Magic Choco Walnut Cookies","262.8 g","₹67","₹135","50%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771921243713-870.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624238-6","https://blinkit.com/cn/bakery-biscuits/cookies/cid/888/28","Britannia Good Day Cashew Biscuit","200 g","₹38","₹40","5%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775457726381-231.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624238-7","https://blinkit.com/cn/bakery-biscuits/cookies/cid/888/28","Mio Amore Golden Wings Biscuit","100 g","₹44","","","ADD","10 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d87d4366-5686-4324-b27f-d76b299278f3.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624238-8","https://blinkit.com/cn/bakery-biscuits/cookies/cid/888/28","Pran Potata Biscuit","75 g","₹25","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/51207f21-d519-4312-b0c5-3c2e985c2256.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624238-9","https://blinkit.com/cn/bakery-biscuits/cookies/cid/888/28","Sunfeast Mom's Magic Bakery Fruit & Nut Cookies","438 g","₹89","₹180","50%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771921243713-885.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624238-10","https://blinkit.com/cn/bakery-biscuits/cookies/cid/888/28","Sobisco Prime Time Elaichi Biscuit","378 g","₹43","₹50","14%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ba9f11dc-8219-4a25-b968-8ed106153846.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
