web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775668829-1","https://blinkit.com/cn/sauces-spreads/cooking-sauces-vinegar/cid/972/929","MasterChow Oyster Sauce","220 g","₹169","₹179","5%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c9e9e620-63f9-4dfe-b056-54eb66315ff9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668829-2","https://blinkit.com/cn/sauces-spreads/cooking-sauces-vinegar/cid/972/929","Catch Ginger Garlic Paste","200 g","₹23","₹47","51%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771991783673-1141.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668829-3","https://blinkit.com/cn/sauces-spreads/cooking-sauces-vinegar/cid/972/929","Hommade Coconut Milk","200 ml","₹81","₹89","8%
OFF","ADD","18 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/eaea170d-479e-4003-8303-bd0e0ee6607d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668829-4","https://blinkit.com/cn/sauces-spreads/cooking-sauces-vinegar/cid/972/929","Ching's Secret Dark Soy Sauce Rich, Brown and Zesty","210 g","₹52","₹56","7%
OFF","ADD","18 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f2e7792d-acfd-4b10-96a7-85d18f75b428.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668829-5","https://blinkit.com/cn/sauces-spreads/cooking-sauces-vinegar/cid/972/929","Ching's Secret White Chilli Vinegar with Green Jwala Chilli","170 ml","₹47","₹50","6%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8f92e59e-0239-4986-b1e1-c3dbff77158b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668829-6","https://blinkit.com/cn/sauces-spreads/cooking-sauces-vinegar/cid/972/929","MasterChow White Vinegar","170 ml","₹50","₹69","27%
OFF","ADD","18 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1e3919ef-03c5-4202-b683-e32b6a63dd96.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668829-7","https://blinkit.com/cn/sauces-spreads/cooking-sauces-vinegar/cid/972/929","Knorr Pizza & Pasta Sauce","200 g","₹53","₹60","11%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7e06331f-2672-4e32-8894-9b20d7063297.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668829-8","https://blinkit.com/cn/sauces-spreads/cooking-sauces-vinegar/cid/972/929","Dabur Keora Water Essence","250 ml","₹72","₹75","","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6cf3f214-dbc9-4fc1-abff-bdc4fe08d0d5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668829-9","https://blinkit.com/cn/sauces-spreads/cooking-sauces-vinegar/cid/972/929","Mother's Recipe Ginger Garlic Paste","200 g","₹38","₹47","19%
OFF","ADD","18 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771321083280-197.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775668829-10","https://blinkit.com/cn/sauces-spreads/cooking-sauces-vinegar/cid/972/929","Knorr Schezwan Sauce","200 g","₹58","₹65","10%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/65e20750-05b9-4170-b2d7-113c3ac62355.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
