web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775584423-1","https://blinkit.com/cn/dairy-breakfast/curd-yogurt/cid/14/123","Aashirvaad Svasti Pouch Curd","390 g","₹35","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/cfafaea6-da36-4a73-97b5-c0722283a838.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584423-2","https://blinkit.com/cn/dairy-breakfast/curd-yogurt/cid/14/123","Amul Masti Pouch Curd","200 g","₹20","","","ADD","11 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ca060c47-3768-439d-9069-2ac73d73f49a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584423-3","https://blinkit.com/cn/dairy-breakfast/curd-yogurt/cid/14/123","Mother Dairy Classic Cup Curd","200 g","₹25","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774944833006-555.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584423-4","https://blinkit.com/cn/dairy-breakfast/curd-yogurt/cid/14/123","Amul Masti Pouch Curd","1 kg","₹77","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e7023096-622d-4e2e-9c2c-a7689262c36f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584423-5","https://blinkit.com/cn/dairy-breakfast/curd-yogurt/cid/14/123","Mother Dairy Mishti Doi","80 g","₹15","","","ADD","11 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774519548008-466.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584423-6","https://blinkit.com/cn/dairy-breakfast/curd-yogurt/cid/14/123","Mother Dairy Classic Pouch Curd","1 kg","₹77","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e913092d-fdc8-4a83-862e-40ad52f8b240.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584423-7","https://blinkit.com/cn/dairy-breakfast/curd-yogurt/cid/14/123","Country Delight Ghar Jaisa Cup Curd","400 g","₹69","₹80","13%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c81bc4b5-2e67-4d25-91dd-ccbd540a4254.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584423-8","https://blinkit.com/cn/dairy-breakfast/curd-yogurt/cid/14/123","Mother Dairy Nolen Gur Mishti Doi","80 g","₹20","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/60e25357-5c6a-4937-9b3d-515225529075.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584423-9","https://blinkit.com/cn/dairy-breakfast/curd-yogurt/cid/14/123","Mother Dairy Classic Pouch Pouch Curd","390 g","₹35","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774944833006-527.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584423-10","https://blinkit.com/cn/dairy-breakfast/curd-yogurt/cid/14/123","Epigamia Natural Greek Yogurt (85 g)","85 g","₹60","","","ADD","11 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2193ef66-aa68-4736-9467-4d0e6e2b1376.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
