web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775584595-1","https://blinkit.com/cn/dairy-breakfast/cream-whitener/cid/14/1092","Amul Half & Half Fresh Cream","250 ml","₹70","","","","18 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a3037672-9785-4d61-8dfc-6ed0ae38ecda.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584595-2","https://blinkit.com/cn/dairy-breakfast/cream-whitener/cid/14/1092","Amulya Dairy Whitener","500 g","₹245","","","","18 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772432402055-490.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584595-3","https://blinkit.com/cn/dairy-breakfast/cream-whitener/cid/14/1092","Amul Fresh Cream","250 ml","₹72","","","3 options","18 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f1d68b93-ad41-44e3-b849-6bbb6dcc3e36.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584595-4","https://blinkit.com/cn/dairy-breakfast/cream-whitener/cid/14/1092","Nestle Everyday Dairy Whitener","400 g","₹255","","","","18 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d8559871-44ea-418d-a83f-b9a9f0b22c4a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584595-5","https://blinkit.com/cn/dairy-breakfast/cream-whitener/cid/14/1092","Mother Dairy - Dairy Whitener","500 g","₹249","₹250","","2 options","18 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/21fa9c54-fb99-42ba-b92e-cb76ad6e9a53.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584595-6","https://blinkit.com/cn/dairy-breakfast/cream-whitener/cid/14/1092","Nestle Everyday Dairy Whitener","1 kg","₹625","","","2 options","18 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5112eb55-0f88-4661-8a32-941ba890233e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584595-7","https://blinkit.com/cn/dairy-breakfast/cream-whitener/cid/14/1092","D'lecta Whip Whipping Cream","1 kg","₹180","₹225","20%
OFF","","18 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1d7d2f7e-aabb-4083-8b55-79ca4a318576.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584595-8","https://blinkit.com/cn/dairy-breakfast/cream-whitener/cid/14/1092","Milky Mist Fresh Cream","250 ml","₹95","₹100","5%
OFF","","18 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a1caacc4-1f9f-48d8-9664-6ecea03ca982.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584595-9","https://blinkit.com/cn/dairy-breakfast/cream-whitener/cid/14/1092","D'lecta Dairy Fresh Cream - 25% Fat","200 ml","₹61","₹65","Out of Stock","","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/739ee060-94b5-45f3-b560-c31ebc773a1f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775584595-10","https://blinkit.com/cn/dairy-breakfast/cream-whitener/cid/14/1092","Amul Whipping Cream","250 ml","₹90","","Out of Stock","","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9217c964-f868-4d45-ba8a-86c1dbd35c58.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
