web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775627123-1","https://blinkit.com/cn/dry-fruits-masala-oil/dates-seeds/cid/1557/815","True Elements 9-In-1 Trail Mix, Seeds & Dry Fruits","125 g","₹113","₹140","19%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773209075619-173.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627123-2","https://blinkit.com/cn/dry-fruits-masala-oil/dates-seeds/cid/1557/815","Wonderland Foods Arabian Dates (Khajur)","250 g","₹70","₹99","29%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774519548008-105.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627123-3","https://blinkit.com/cn/dry-fruits-masala-oil/dates-seeds/cid/1557/815","Sunrise Pure Poppy Seeds (Posta) (Khuskhus)","50 g","₹150","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/341995cd-a979-427e-9a2d-ced50b2c648d.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627123-4","https://blinkit.com/cn/dry-fruits-masala-oil/dates-seeds/cid/1557/815","Whole Farm Premium Chia Seeds","100 g","₹40","₹75","46%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0e896360-d759-49ae-888b-bed8d1467220.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627123-5","https://blinkit.com/cn/dry-fruits-masala-oil/dates-seeds/cid/1557/815","True Elements Premium Whole Healthy Diet Seeds Mix Combo (Beej Mix)","700 g","₹411","₹698","41%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fd1a9fe9-1e3f-4c4c-8129-59c61e8e8b66.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627123-6","https://blinkit.com/cn/dry-fruits-masala-oil/dates-seeds/cid/1557/815","Lion Arabian Dates - Buy 1 Get 1 Free (Khajur)","2 x 500 g","₹274","₹282","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e45994ba-fb68-43b6-b77f-d73012489e13.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627123-7","https://blinkit.com/cn/dry-fruits-masala-oil/dates-seeds/cid/1557/815","Mark Premium Nuturge Pumpkin Seeds","100 g","₹79","₹80","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/71da0e01-c8dd-414a-9ea3-d2b2ae6dcdce.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627123-8","https://blinkit.com/cn/dry-fruits-masala-oil/dates-seeds/cid/1557/815","Whole Farm Premium Watermelon Seeds (Tarbooj/Magaj Beej)","100 g","₹95","₹200","52%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/149e999e-37b6-4ca6-a779-4e941971f145.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627123-9","https://blinkit.com/cn/dry-fruits-masala-oil/dates-seeds/cid/1557/815","Dates Laddu by Sweet Karam Coffee (No Added Sugar)","45 g","₹86","₹100","14%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/70d9656a-2101-4a9d-97d3-727b7625a912.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627123-10","https://blinkit.com/cn/dry-fruits-masala-oil/dates-seeds/cid/1557/815","Whole Farm Premium Flax Seeds","100 g","₹22","₹50","56%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/069b4f5d-d17f-4786-b54b-be68abd816cc.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627123-11","https://blinkit.com/cn/dry-fruits-masala-oil/dates-seeds/cid/1557/815","Farmley Premium Chia Seeds","200 g","₹119","₹229","48%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/910604ea-aff4-4324-bde1-3547aecbba42.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
