web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775705058-1","https://blinkit.com/cn/personal-care/deodorant-talc/cid/163/1115","Dove Original Deodorant Roll on (for Women)","50 ml","₹169","₹259","34%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770807709419-17.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775705058-2","https://blinkit.com/cn/personal-care/deodorant-talc/cid/163/1115","Denver Hamilton Men's Deodorant","150 ml","₹159","₹230","30%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ecf00862-7683-422e-b1e5-0d4002191c75.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775705058-3","https://blinkit.com/cn/personal-care/deodorant-talc/cid/163/1115","Nivea Men Fresh Active Men's Roll On","50 ml","₹171","₹249","31%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bfd5eb23-93ee-4822-9ca2-b3ec5b6e0072.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775705058-4","https://blinkit.com/cn/personal-care/deodorant-talc/cid/163/1115","Nivea Whitening Smooth Skin Deodorant Roll on","50 ml","₹169","₹249","32%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c4e4b0b2-f85e-4f5a-ad21-7d13364af7c0.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775705058-5","https://blinkit.com/cn/personal-care/deodorant-talc/cid/163/1115","Nivea Men Fresh Active Original Men's Deodorant","150 ml","₹219","₹299","26%
OFF","ADD","16 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/99de3383-ed57-458b-82f9-29be1cf19dc0.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775705058-6","https://blinkit.com/cn/personal-care/deodorant-talc/cid/163/1115","Spinz Enchante Women's Deodorant","150 ml","₹99","₹215","53%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b20b19e5-b15b-4176-9913-c19187737870.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775705058-7","https://blinkit.com/cn/personal-care/deodorant-talc/cid/163/1115","Nivea Pearl & Beauty Deodorant Roll on","50 ml","₹171","₹249","31%
OFF","ADD","16 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771396342029-199.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775705058-8","https://blinkit.com/cn/personal-care/deodorant-talc/cid/163/1115","Bombay Shaving Company Desire Men's Deodorant","150 ml","₹109","₹355","69%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770915494802-83.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775705058-9","https://blinkit.com/cn/personal-care/deodorant-talc/cid/163/1115","Nivea Men Fresh Ocean Men's Deodorant","150 ml","₹219","₹299","26%
OFF","ADD","16 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/27dfbed2-da83-41ea-aafe-e1b68abfe651.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775705058-10","https://blinkit.com/cn/personal-care/deodorant-talc/cid/163/1115","Bombay Shaving Company Noir Men's Deodorant","150 ml","₹99","₹355","72%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770915494802-94.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
