web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775622367-1","https://blinkit.com/cn/instant-frozen-food/dessert-cake-mixes/cid/15/970","Weikfield Strawberry Jelly Crystal Dessert Mix","90 g","₹58","₹60","","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9ad1c5a9-7b0c-4763-8739-129635ddfec9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622367-2","https://blinkit.com/cn/instant-frozen-food/dessert-cake-mixes/cid/15/970","Weikfield Falooda Mix Rose Flavour","200 g","₹46","₹90","48%
OFF","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c27f321f-212c-4fdb-b318-42edf67276fb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622367-3","https://blinkit.com/cn/instant-frozen-food/dessert-cake-mixes/cid/15/970","Weikfield Kesar Pista Falooda Mix","200 g","₹46","₹90","48%
OFF","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6d10ec76-63a8-4ea4-9937-c585fe4cf90f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622367-4","https://blinkit.com/cn/instant-frozen-food/dessert-cake-mixes/cid/15/970","Weikfield Ready To Eat Custard (Vanilla)","200 ml","₹51","₹67","23%
OFF","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773209973109-354.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622367-5","https://blinkit.com/cn/instant-frozen-food/dessert-cake-mixes/cid/15/970","Weikfield Strawberry Falooda Mix","200 g","₹46","₹90","48%
OFF","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/58aa2ae3-61af-48be-87b6-37f052146897.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622367-6","https://blinkit.com/cn/instant-frozen-food/dessert-cake-mixes/cid/15/970","MTR Gulab Jamun Mix","175 g","₹129","","","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773034390367-425.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622367-7","https://blinkit.com/cn/instant-frozen-food/dessert-cake-mixes/cid/15/970","Gits Gulab Jamun Mix","200 g","₹100","₹112","10%
OFF","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e81534d6-48f0-40cd-b668-c77561260d94.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622367-8","https://blinkit.com/cn/instant-frozen-food/dessert-cake-mixes/cid/15/970","Slurrp Farm Banana Chocochip Pancake Mix","150 g","₹177","","","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772166491481-146.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622367-9","https://blinkit.com/cn/instant-frozen-food/dessert-cake-mixes/cid/15/970","Betty Crocker Classic Pancake Mix (Original)","250 g","₹166","₹195","14%
OFF","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8e7696bf-ec3c-4679-b087-17be59c8dd29.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622367-10","https://blinkit.com/cn/instant-frozen-food/dessert-cake-mixes/cid/15/970","Gits Jalebi Dessert Mix - with Free Easy Maker Bottle","100 g","₹67","₹76","11%
OFF","ADD","11 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1085b7bc-f79b-4651-b7e9-ed96ccbf55cb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
