web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775624494-1","https://blinkit.com/cn/bakery-biscuits/healthy-digestive/cid/888/938","Right Shift Jaggery Atta Cookies (No Maida/ No Palm Oil)","120 g","₹81","₹90","10%
OFF","12 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772432009525-497.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624494-2","https://blinkit.com/cn/bakery-biscuits/healthy-digestive/cid/888/938","Britannia NutriChoice Thin Arrowroot Biscuit","300 g","₹40","","","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4621ab46-a2e6-45f6-b87c-13a00d549248.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624494-3","https://blinkit.com/cn/bakery-biscuits/healthy-digestive/cid/888/938","Britannia Nutrichoice Sugar Free Cracker","295 g","₹45","","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/caa3a8ef-6427-4adb-9fee-a31865a85c24.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624494-4","https://blinkit.com/cn/bakery-biscuits/healthy-digestive/cid/888/938","Britannia NutriChoice Digestive High-Fibre Biscuit (960 g)","960 g","₹133","₹198","32%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e1cd47a9-9bb8-439e-90e3-a690739e594c.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624494-5","https://blinkit.com/cn/bakery-biscuits/healthy-digestive/cid/888/938","Sunfeast Farmlite Oats & Almonds Cookies","150 g","₹57","₹66","13%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771667792511-339.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624494-6","https://blinkit.com/cn/bakery-biscuits/healthy-digestive/cid/888/938","Britannia NutriChoice Digestive High-Fibre Biscuit","120 g","₹25","","","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774357330113-343.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624494-7","https://blinkit.com/cn/bakery-biscuits/healthy-digestive/cid/888/938","Britannia NutriChoice Oats Orange & Almond Biscuit","66.6 g","₹18","₹20","10%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772432009525-1690.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624494-8","https://blinkit.com/cn/bakery-biscuits/healthy-digestive/cid/888/938","Britannia NutriChoice 5 Grain Digestive Biscuit","200 g","₹58","₹65","10%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c9f8577d-efb4-42d5-add0-35af6ad89fd3.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624494-9","https://blinkit.com/cn/bakery-biscuits/healthy-digestive/cid/888/938","Right Shift Jaggery Ragi Cookies (No Maida/ No Palm Oil)","100 g","₹63","₹70","10%
OFF","12 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772432009525-496.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624494-10","https://blinkit.com/cn/bakery-biscuits/healthy-digestive/cid/888/938","Sunfeast Farmlite Oats with Chocolate Cookies","150 g","₹57","₹66","13%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771667792511-361.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624494-11","https://blinkit.com/cn/bakery-biscuits/healthy-digestive/cid/888/938","Britannia NutriChoice Digestive High Fibre Biscuit - 250 g Family Pack","250 g","₹51","₹55","7%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f326ac0f-cd4a-4dd3-a176-2941359d5fc9.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624494-12","https://blinkit.com/cn/bakery-biscuits/healthy-digestive/cid/888/938","Sunfeast Farmlite Oats & Almonds Cookies","300 g","₹84","₹142","40%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771667792511-524.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
