web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775679228-1","https://blinkit.com/cn/cleaning-essentials/dishwashing-gels-tablets/cid/18/1078","Vim Lemon Dishwash Gel (500 ml)","500 ml","₹135","","","ADD","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2d933088-48fe-437f-ba93-90d8ea61096b.png","",""
"1775679228-2","https://blinkit.com/cn/cleaning-essentials/dishwashing-gels-tablets/cid/18/1078","Sparkle Orange Plus Dishwash Gel","140 ml","₹20","","","ADD","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/292cdaf2-a304-4f54-968d-7c1cdeeed32e.png","",""
"1775679228-3","https://blinkit.com/cn/cleaning-essentials/dishwashing-gels-tablets/cid/18/1078","Vim Lemon Dishwash Gel (900 ml)","900 ml","₹185","₹190","","ADD","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773209973109-811.png","",""
"1775679228-4","https://blinkit.com/cn/cleaning-essentials/dishwashing-gels-tablets/cid/18/1078","Pitambari Copper & Brass Metal Dishwash Powder (200 g)","200 g","₹47","₹60","21%
OFF","ADD","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/929eab48-eeab-42b2-a67c-5968a28349c5.png","",""
"1775679228-5","https://blinkit.com/cn/cleaning-essentials/dishwashing-gels-tablets/cid/18/1078","SaveMore Lemon Dishwash Gel (500 ml)","500 ml","₹72","₹125","42%
OFF","ADD","","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/667284f7-7aac-4c85-a8e1-98c40f262ad3.png","",""
"1775679228-6","https://blinkit.com/cn/cleaning-essentials/dishwashing-gels-tablets/cid/18/1078","SaveMore Lemon Dishwash Gel","2 ltr","₹179","₹300","40%
OFF","ADD","","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1a3cd813-8e1e-4b7a-a2b8-dc8b4368a252.png","",""
"1775679228-7","https://blinkit.com/cn/cleaning-essentials/dishwashing-gels-tablets/cid/18/1078","Dettol Lemon Fresh Dishwash Gel","1500 ml","₹198","₹275","28%
OFF","ADD","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1d7e97f7-da34-456a-8cb0-ce01c7b6c85e.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775679228-8","https://blinkit.com/cn/cleaning-essentials/dishwashing-gels-tablets/cid/18/1078","Vim ProClean Dishwash Gel (Tangerine)","750 ml","₹191","₹249","23%
OFF","ADD","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e6f96605-3c24-4691-9a9d-7ae09b882c4e.png","",""
"1775679228-9","https://blinkit.com/cn/cleaning-essentials/dishwashing-gels-tablets/cid/18/1078","Vim Lemon Dishwash Gel","2 ltr","₹369","₹435","15%
OFF","ADD","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774858847914-905.png","",""
"1775679228-10","https://blinkit.com/cn/cleaning-essentials/dishwashing-gels-tablets/cid/18/1078","SaveMore Lemon Dishwash Gel","750 ml","₹99","₹169","41%
OFF","ADD","","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1b6c9263-a178-41d4-b1af-1ef7f1d3a178.png","",""
