web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775679412-1","https://blinkit.com/cn/cleaning-essentials/dishwashing-bars-tubs/cid/18/988","Vim Lemon Dishwash Bar (300 g)","300 g","₹30","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/78958301-ced4-4c8a-965d-557816188552.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679412-2","https://blinkit.com/cn/cleaning-essentials/dishwashing-bars-tubs/cid/18/988","Vim Lemon Tub Dishwashing Tub","480 g","₹50","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/56c4f6bf-3b2b-4229-9c10-0fe0f6134072.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679412-3","https://blinkit.com/cn/cleaning-essentials/dishwashing-bars-tubs/cid/18/988","Sparkle Lime & Orange Dishwash Bar - Buy 4 Get 1 Free","5 x 130 g","₹40","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e35b1400-1e5e-482a-92eb-c41cee9808fe.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679412-4","https://blinkit.com/cn/cleaning-essentials/dishwashing-bars-tubs/cid/18/988","Sparkle Lime & Orange Dishwashing Tub","600 g","₹60","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9ffcef91-9b5e-439a-89dd-ec8d86b20108.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679412-5","https://blinkit.com/cn/cleaning-essentials/dishwashing-bars-tubs/cid/18/988","Vim Lemon Dishwash Bar (Pack of 4)","4 x 200 g","₹81","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/29fde898-43fd-4c78-a565-ba6a25fe7f3f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679412-6","https://blinkit.com/cn/cleaning-essentials/dishwashing-bars-tubs/cid/18/988","Patanjali Super Dishwash Bar - Buy 3 Get 1 Free","4 x 225 g","₹72","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/803bf85e-c0ba-426d-a706-ba651a3e7dc8.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679412-7","https://blinkit.com/cn/cleaning-essentials/dishwashing-bars-tubs/cid/18/988","Exo Ginger Dishwashing Tub with Power Of Bio-Enzymes","500 g","₹51","₹52","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772535388856-631.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679412-8","https://blinkit.com/cn/cleaning-essentials/dishwashing-bars-tubs/cid/18/988","Exo Ginger Dishwashing Tub with Power Of Bio-Enzymes - Pack of 2","2 x 500 g","₹101","₹104","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4e02f71f-edb1-40bd-a916-74d246374b31.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679412-9","https://blinkit.com/cn/cleaning-essentials/dishwashing-bars-tubs/cid/18/988","Again Lime Dishwash Bar","3 x 200 g","₹41","₹52","27 mins","ADD","21%
OFF","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a70b4817-d591-421c-b8f8-aa4cc6c43a4d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679412-10","https://blinkit.com/cn/cleaning-essentials/dishwashing-bars-tubs/cid/18/988","Vim Pudina Anti Smell Dishwash Bar","135 g","₹30","","27 mins","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8acd36f4-a518-48f6-8828-fe53e0506098.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
