web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775679530-1","https://blinkit.com/cn/cleaning-essentials/dishwashing-accessories/cid/18/986","Scotch Brite Silver Sparks Scrub Pad (Small)","3 pcs","₹25","","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/94ce26d0-e5ac-4d8e-9d01-1f359e22c3a6.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679530-2","https://blinkit.com/cn/cleaning-essentials/dishwashing-accessories/cid/18/986","Scotch Brite Stainless Steel Scrubber Ball","1 pc","₹20","","","27 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/812ddb1e-8a6f-45de-93bc-0ce442f70b87.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679530-3","https://blinkit.com/cn/cleaning-essentials/dishwashing-accessories/cid/18/986","Scotch Brite Silver Sparks Scrub Pad (Regular)","3 pcs","₹51","₹55","7%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e3e45295-ede4-4cdc-9a77-4dbd464a1703.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679530-4","https://blinkit.com/cn/cleaning-essentials/dishwashing-accessories/cid/18/986","Softspun Microfiber Mesh Wire Steel Scrubber","5 pcs","₹112","₹312","64%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3d65d303-9246-4b65-a068-18d60cdcd81b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679530-5","https://blinkit.com/cn/cleaning-essentials/dishwashing-accessories/cid/18/986","Scotch Brite Stainless Steel Scrubber with 1 Scrub Pad","1 pack","₹30","","","27 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/79a2cab2-85c9-4867-9033-e2fa3b99fe1a.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679530-6","https://blinkit.com/cn/cleaning-essentials/dishwashing-accessories/cid/18/986","Scotch Brite Sponge Scrub","3 pcs","₹74","₹75","","27 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0e6ea4a4-6b40-4f38-88f0-157a6dcadab2.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679530-7","https://blinkit.com/cn/cleaning-essentials/dishwashing-accessories/cid/18/986","Exo Steel Scrubber","1 pc","₹14","₹15","6%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f82bf888-3e94-437a-8969-bca63b6a0a70.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679530-8","https://blinkit.com/cn/cleaning-essentials/dishwashing-accessories/cid/18/986","Scotch Brite Scrub Pad","5 pcs","₹75","","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7e9b7d6c-ea03-4de2-b616-5864d88bb26d.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679530-9","https://blinkit.com/cn/cleaning-essentials/dishwashing-accessories/cid/18/986","Scotch Brite Super Strong Scrub Pad (Medium)","1 pc","₹25","","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5ea217bb-d267-41ee-baad-9317ce3b888e.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679530-10","https://blinkit.com/cn/cleaning-essentials/dishwashing-accessories/cid/18/986","Gala Sponge Wipe for Kitchen Cleaning","3 pcs","₹143","₹199","28%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775457726381-720.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679530-11","https://blinkit.com/cn/cleaning-essentials/dishwashing-accessories/cid/18/986","Gala Super Steel Scrubber","1 pc","₹43","₹45","","27 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/88111928-74d8-4526-b2a1-a5cf52aaacec.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679530-12","https://blinkit.com/cn/cleaning-essentials/dishwashing-accessories/cid/18/986","Scotch Brite Sponge Wipe","3 pcs","₹230","","","27 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2095d685-cae1-4fa4-886d-a4f93f1ac613.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
