web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775679440-1","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","Dettol Multi-Purpose Disinfectant Spray","170 g","₹182","₹195","6%
OFF","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c8eca90b-5dc7-4255-a6d2-f2b7d5b0782b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679440-2","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","Dettol Original Multi-Use Skin & Surface Wet Wipes","40 wipes","₹138","₹149","7%
OFF","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6a7e9f35-ecea-44e7-8610-2ea73d5e8543.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679440-3","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","ITC Nimyle Floor Cleaner - Citro","2 ltr","₹259","₹290","10%
OFF","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772726001948-89.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679440-4","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","Savlon Surface Disinfectant Spray","170 g","₹195","","","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/723067cf-c4ef-4077-bfbe-cdb93afefadc.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679440-5","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","Dettol Multi Surface Sanitizer Disinfectant Spray","170 g","₹182","₹195","6%
OFF","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4828431c-43b6-4d43-9baa-b2120ec421cb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679440-6","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","Pee Safe Toilet Seat Sanitizer Spray (Floral)","75 ml","₹179","₹180","","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9fce9a74-0dbd-4f2b-8e6e-b1f345c34392.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679440-7","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","Savlon Germ Protection Disinfectant Wipes (Skin Friendly)","72 wipes","₹189","₹210","10%
OFF","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2feb0c2c-777b-4b2c-b710-246a071a4dd5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679440-8","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","Pee Safe Toilet Seat Toilet Sanitizer Spray (Lavender)","75 ml","₹179","₹180","","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b3693491-8d3b-45cf-b9cc-1afde8c256bd.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679440-9","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","Dettol Liquid Disinfectant (Lime Fresh)","550 ml","₹267","₹284","5%
OFF","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ceec44cc-2c37-423f-8378-00e425cead61.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679440-10","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","Pee Safe Toilet Seat Sanitizer Spray (Mint)","75 ml","₹179","₹180","","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/620e3a95-dcaa-4808-821e-a31ff70c5ec2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679440-11","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","Savlon Germ Protection Disinfectant Wipes (Skin Friendly)","30 wipes","₹98","₹120","18%
OFF","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5e424251-ab11-44c3-adde-0cc4f4713922.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679440-12","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","Dettol Liquid Disinfectant (Menthol Cool)","550 ml","₹267","₹284","5%
OFF","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/18ccbb7f-16c5-4767-b584-048953f6e240.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679440-13","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","Pee Safe Toilet Sanitizer Spray (Citrus)","75 ml","₹179","₹180","","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9e04bbfe-a8ca-4a8a-b5c7-f448b9de488f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679440-14","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","Terminator Eco-Friendly Termite Repellent","320 ml","₹176","₹185","","27 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1b165f96-8902-4ac1-baab-2568a81f289c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679440-15","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","Dettol Multipurpose Liquid Disinfectant - Lavender Blossom","1 ltr","₹452","₹485","6%
OFF","30 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e0f7acc6-0333-4f44-8d06-6fc73d5aaa60.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679440-16","https://blinkit.com/cn/cleaning-essentials/disinfectants/cid/18/1784","Glider Multipurpose Skin and Surface Wet Wipes","72 wipes","₹135","₹175","22%
OFF","30 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/98830df7-1c67-4c93-bbe7-cdf73912d75b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
