web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775626598-1","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Let's Try Premium Panchmeva","400 g","₹346","₹516","32%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d5d9d9bd-2f5c-4cb6-b781-e579a8756040.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626598-2","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Mark Premium Raisins (Kishmish)","100 g","₹75","₹79","5%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/03d2856e-4990-458f-8407-6c394402264b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626598-3","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Premium Cashew (Kaju)","100 g","₹117","₹190","38%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d48bb9d0-b7fd-4510-a05a-187c04fa0f70.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626598-4","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Premium Raw Peanuts (Moongfali)","200 g","₹40","₹90","55%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ddc53631-745a-49ba-bef9-56c102ebe385.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626598-5","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","True Elements 9-In-1 Trail Mix, Seeds & Dry Fruits","125 g","₹113","₹140","19%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773209075619-173.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626598-6","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Premium Broken Cashew (Kaju)","100 g","₹109","₹180","39%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/23eb88d3-c0bd-4d2f-b35b-cb77acdd06d0.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626598-7","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Grocery Almonds (200 g) (Badam)","200 g","₹199","₹260","23%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/372a643d-7084-4609-af94-cf4bc0ce4a05.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626598-8","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Grocery Makhana","100 g","₹141","₹210","32%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/19217ea1-db1d-48a3-bb0d-733615c083d2.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626598-9","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Nutzee Dry Fruit Mix","250 g","₹270","₹400","32%
OFF","ADD","10 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775198292769-72.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626598-10","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Grocery Cashew (200 g) (Kaju)","200 g","₹211","₹299","29%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7fa9edba-b515-477b-870f-a59d36950455.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626598-11","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Premium American Almonds (100 g) (Badam)","100 g","₹124","₹190","34%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5cbf6bc9-e118-4a8a-8477-e01d57f63a18.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626598-12","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Grocery Raisins (Kishmish)","200 g","₹126","₹200","37%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4c4ef68b-dc7f-4684-8f05-fd30870606ed.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626598-13","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Premium Cashew - 2 Halves (Kaju)","100 g","₹123","₹160","23%
OFF","ADD","12 mins","","","",""
"1775626598-14","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Premium 2 Halves Walnut Kernels (Akhroter Gola)","100 g","₹158","₹240","34%
OFF","ADD","12 mins","","","",""
"1775626598-15","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Premium Plain Makhana/Foxnuts","100 g","₹141","₹240","41%
OFF","ADD","12 mins","","","",""
"1775626598-16","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Premium Raisins (Kishmish)","100 g","₹60","₹110","45%
OFF","ADD","12 mins","2 options","","",""
"1775626598-17","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Tata Sampann Seedless Raisins (100% Pure Premium) (Kishmish)","200 g","₹156","₹189","17%
OFF","ADD","12 mins","","","",""
"1775626598-18","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Farmley Cream & Onion Roasted Flavoured Makhana Roasted In Olive Oil (Swadisht Makhana)","20 g","₹49","₹50","","ADD","12 mins","3 options","","",""
"1775626598-19","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Mark Premium Almonds (Badam)","100 g","₹119","₹125","","ADD","12 mins","","","",""
"1775626598-20","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Organic Box Premium Dry Fruit Mix","500 g","₹388","₹799","51%
OFF","ADD","10 mins","","","",""
"1775626598-21","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Mark Premium Cashew (Kaju)","100 g","₹131","₹139","5%
OFF","ADD","12 mins","","","",""
"1775626598-22","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Premium Anjeer","100 g","₹127","₹210","39%
OFF","ADD","12 mins","","","",""
"1775626598-23","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","MOM Roasted & Salted Cashew","48 g","₹88","₹99","11%
OFF","ADD","12 mins","","","",""
"1775626598-24","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Grocery Cashew (Kaju)","500 g","₹435","₹750","42%
OFF","ADD","12 mins","","","",""
"1775626598-25","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Farmley Panchmeva Mix Dry Fruit (Sukno Phol Mix)","405 g","₹449","₹549","18%
OFF","ADD","12 mins","","","",""
"1775626598-26","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Tata Sampann Pure California Almonds (Badam)","500 g","₹504","₹699","27%
OFF","ADD","12 mins","","","",""
"1775626598-27","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Premium Black Raisins/Black Kishmish (Kaalo Kishmish)","100 g","₹69","₹90","23%
OFF","ADD","12 mins","","","",""
"1775626598-28","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Wonderland Foods Panchmeva Dry Fruits Mix (Sukno Phol Mix)","135 g","₹104","₹198","47%
OFF","ADD","12 mins","","","",""
"1775626598-29","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Farmley Classic Delight Dates Bites - No Added Sugar","200 g","₹339","₹400","15%
OFF","ADD","12 mins","","","",""
"1775626598-30","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Premium Red Raw Peanuts (Moongfali)","500 g","₹101","₹180","43%
OFF","ADD","12 mins","","","",""
"1775626598-31","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Premium Cashew - 2 Halves (Kaju)","100 g","₹123","₹160","23%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c83e63f8-2025-4c74-9362-f9d249c3dd91.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626598-32","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Premium 2 Halves Walnut Kernels (Akhroter Gola)","100 g","₹158","₹240","34%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1da67db1-a3cf-44e5-ae4c-0d6609e71808.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626598-33","https://blinkit.com/cn/dry-fruits-masala-oil/dry-fruits/cid/1557/1160","Whole Farm Premium Plain Makhana/Foxnuts","100 g","₹141","₹240","41%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ef2fe0c3-1a4e-42f3-965b-922abe884862.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
