web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775669121-1","https://blinkit.com/cn/organic-premium/dry-fruits-nuts-seeds/cid/175/1937","Whole Farm Premium Watermelon Seeds (Tarbooj/Magaj Beej)","100 g","₹95","₹200","52%
OFF","ADD","15 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/149e999e-37b6-4ca6-a779-4e941971f145.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775669121-2","https://blinkit.com/cn/organic-premium/dry-fruits-nuts-seeds/cid/175/1937","Organic Box Premium Dry Fruit Mix","500 g","₹388","₹799","51%
OFF","ADD","21 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/904aa25a-8baa-42b2-958b-025203e7c716.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775669121-3","https://blinkit.com/cn/organic-premium/dry-fruits-nuts-seeds/cid/175/1937","Whole Farm Premium Flax Seeds","100 g","₹22","₹50","56%
OFF","ADD","15 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/069b4f5d-d17f-4786-b54b-be68abd816cc.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775669121-4","https://blinkit.com/cn/organic-premium/dry-fruits-nuts-seeds/cid/175/1937","Mark Premium Salted Flavoured Cashew","100 g","₹150","₹155","","ADD","15 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2c8df085-bc7f-43a1-913a-136e16ce810b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775669121-5","https://blinkit.com/cn/organic-premium/dry-fruits-nuts-seeds/cid/175/1937","Whole Farm Premium Sunflower Seeds (Surajmukhi Beej)","100 g","₹30","₹70","57%
OFF","ADD","15 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8f9ff2ab-0ffd-41d8-9490-6d4a66cc5ed9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775669121-6","https://blinkit.com/cn/organic-premium/dry-fruits-nuts-seeds/cid/175/1937","Whole Farm Premium Basil Seeds / Sabja Seeds (Tulsi Beej)","100 g","₹35","₹75","53%
OFF","ADD","15 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/34d5d9a1-b641-4afe-93e3-5966191d2574.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775669121-7","https://blinkit.com/cn/organic-premium/dry-fruits-nuts-seeds/cid/175/1937","True Elements 7 in 1 Roasted Seeds Mix (Beej Mix)","250 g","₹187","₹275","32%
OFF","ADD","15 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771921243713-4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775669121-8","https://blinkit.com/cn/organic-premium/dry-fruits-nuts-seeds/cid/175/1937","Organic Box - Organic Chia Seeds","250 g","₹189","₹299","36%
OFF","ADD","21 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2713156c-7147-41dd-9c7f-3889558f0d5c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775669121-9","https://blinkit.com/cn/organic-premium/dry-fruits-nuts-seeds/cid/175/1937","Organic Box Organic Anjeer","250 g","₹330","₹799","58%
OFF","ADD","21 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c56a329d-2b8d-4f54-a4b1-3f60e8f91e15.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775669121-10","https://blinkit.com/cn/organic-premium/dry-fruits-nuts-seeds/cid/175/1937","24 Mantra Organic Peanuts","500 g","₹184","₹185","","ADD","15 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770788511345-276.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
