web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775584074-1","https://blinkit.com/cn/dairy-breakfast/eggs/cid/14/1200","Haringhata White Eggs","6 pcs","₹52","₹57","8%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/cb3ef287-69ec-4d4a-bf01-d8bb570cc4e5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584074-2","https://blinkit.com/cn/dairy-breakfast/eggs/cid/14/1200","Cool Eggs - 12 pcs White Eggs","12 pcs","₹93","₹130","28%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6e981db5-5912-49c5-83dd-3f3282f7fc77.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584074-3","https://blinkit.com/cn/dairy-breakfast/eggs/cid/14/1200","OVO Farm On Day White Eggs","6 pcs","₹48","₹70","31%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fc87a60b-b746-4cb8-912d-e51546a1874d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584074-4","https://blinkit.com/cn/dairy-breakfast/eggs/cid/14/1200","Cool Eggs - 30 pcs White Eggs","30 pcs","₹222","₹350","36%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/892be474-df6a-4c5b-9521-fff27d9a0e29.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584074-5","https://blinkit.com/cn/dairy-breakfast/eggs/cid/14/1200","Table White Eggs (6 pcs)","6 pcs","₹49","₹85","42%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/85328b8b-c5e3-4573-90a9-70ba6daaec6f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584074-6","https://blinkit.com/cn/dairy-breakfast/eggs/cid/14/1200","Eggoz Every Day White Protein Rich Eggs - 10 pieces","10 pcs","₹91","₹105","13%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771817802649-80.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584074-7","https://blinkit.com/cn/dairy-breakfast/eggs/cid/14/1200","Eggoz Every Day White Protein Rich Eggs - 30 pieces","30 pcs","₹240","₹300","20%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771817802649-93.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584074-8","https://blinkit.com/cn/dairy-breakfast/eggs/cid/14/1200","Hen Fruit -10 Max Protein Speciality Eggs","10 pcs","₹115","₹160","28%
OFF","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774248273897-24.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584074-9","https://blinkit.com/cn/dairy-breakfast/eggs/cid/14/1200","Total Supreme Chicken Speciality Eggs","6 pcs","₹96","","","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/44976b21-3fbc-4987-bc70-a0315d343b67.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775584074-10","https://blinkit.com/cn/dairy-breakfast/eggs/cid/14/1200","Total Classic Farm Fresh Chicken Protein Rich Eggs","6 pcs","₹85","","","14 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d531c6a0-83f1-4ccb-90a5-9e80a557fbf6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
