web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775590208-1","https://blinkit.com/cn/cold-drinks-juices/energy-drinks/cid/332/91","Adrenaline Rush Energy Drink - Ultimate Focus","300 ml","₹54","₹60","10%
OFF","ADD","14 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f26ec935-e057-4329-9ceb-ab04a6e10146.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590208-2","https://blinkit.com/cn/cold-drinks-juices/energy-drinks/cid/332/91","Monster Zero Sugar Ultra Energy Drink","350 ml","₹106","₹125","15%
OFF","ADD","14 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/efede8e8-222c-4bf0-a319-d885301e0b0a.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590208-3","https://blinkit.com/cn/cold-drinks-juices/energy-drinks/cid/332/91","Red Bull Energy Drink (250 ml)","250 ml","₹125","","","ADD","14 mins","4 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6f4bd423-1666-4d23-bf3d-db482be09608.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590208-4","https://blinkit.com/cn/cold-drinks-juices/energy-drinks/cid/332/91","Monster Pipeline Punch Energy Drink - 350 ml","350 ml","₹115","₹125","8%
OFF","ADD","14 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0be894c4-e2c5-45d1-805b-caa0e5340813.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590208-5","https://blinkit.com/cn/cold-drinks-juices/energy-drinks/cid/332/91","Adrenaline Rush Energy Drink - Ultimate Performance","300 ml","₹54","₹60","10%
OFF","ADD","14 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7bd99e7f-cc50-4c3f-8c91-345038cc4e8b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590208-6","https://blinkit.com/cn/cold-drinks-juices/energy-drinks/cid/332/91","Monster Energy Drink","350 ml","₹125","","","ADD","14 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/54fab895-d622-42a0-a976-3bfdffe99a36.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590208-7","https://blinkit.com/cn/cold-drinks-juices/energy-drinks/cid/332/91","Hell Energy Classic Energy Drink - 250ml","250 ml","₹60","","","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f2744d52-8878-4353-81e5-e5f17c9584b7.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590208-8","https://blinkit.com/cn/cold-drinks-juices/energy-drinks/cid/332/91","Sting Energy Drink","300 ml","₹20","","","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772003211466-46.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590208-9","https://blinkit.com/cn/cold-drinks-juices/energy-drinks/cid/332/91","O'cean Natural Energy Drink","250 ml","₹68","₹70","","ADD","14 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0c4a7646-36dd-4e53-90c6-f7329655d343.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590208-10","https://blinkit.com/cn/cold-drinks-juices/energy-drinks/cid/332/91","Gatorade Lemon Zero Sugar Energy Drink","500 ml","₹50","","","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e05af1bb-0981-41d7-9fe3-025e64abe74e.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775590208-11","https://blinkit.com/cn/cold-drinks-juices/energy-drinks/cid/332/91","Red Bull The Pink Edition Energy Drink","250 ml","₹125","","","ADD","14 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1769601651263-733.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
