web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775702784-1","https://blinkit.com/cn/personal-care/face-body-moisturizers/cid/163/690","Vaseline Gluta Hya Dewy Radiance Serum Body Lotion","200 ml","₹304","₹380","20%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/70206fea-fa03-4cdb-b400-b7c6c4c675da.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775702784-2","https://blinkit.com/cn/personal-care/face-body-moisturizers/cid/163/690","Nivea Body Milk Nourishing Body Lotion","120 ml","₹130","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9b7fcce4-e179-4297-b648-9b449dc4e87a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775702784-3","https://blinkit.com/cn/personal-care/face-body-moisturizers/cid/163/690","Jac Olivol Herbal Body Oil","500 ml","₹244","₹275","11%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d591855c-1f14-4bc4-b2f8-cc0fda371991.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775702784-4","https://blinkit.com/cn/personal-care/face-body-moisturizers/cid/163/690","Nivea Soft Daily UV-Light Moisturizing Cream","50 ml","₹149","₹165","9%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/28246ff4-a793-4e28-b8d4-7e6fbe6553b7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775702784-5","https://blinkit.com/cn/personal-care/face-body-moisturizers/cid/163/690","Vaseline Gluta-Hya Flawless Glow Serum-In Body Lotion","200 ml","₹308","₹380","18%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e7ccb2b6-fec2-485c-bb26-94876ae6a011.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775702784-6","https://blinkit.com/cn/personal-care/face-body-moisturizers/cid/163/690","Keo Karpin Ayurvedic Massage Herbal Body Oil 300 ml","300 ml","₹152","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/729ad798-4abe-40d2-a497-de36497b4a78.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775702784-7","https://blinkit.com/cn/personal-care/face-body-moisturizers/cid/163/690","Vaseline Petroleum Jelly (40 g)","40 g","₹95","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/20c8c61f-7474-4992-93be-5a2fa6a468ae.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775702784-8","https://blinkit.com/cn/personal-care/face-body-moisturizers/cid/163/690","Keo Karpin Ayurvedic Massage Herbal Body Oil","100 ml","₹67","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e6595a2e-2350-4846-b62e-fa9e617d20cb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775702784-9","https://blinkit.com/cn/personal-care/face-body-moisturizers/cid/163/690","Minimalist B12 + Repair Complex 5.5% Face Moisturizer","50 g","₹380","₹399","","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7b64bbfd-ce13-4707-a8e9-b4d4532fa160.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775702784-10","https://blinkit.com/cn/personal-care/face-body-moisturizers/cid/163/690","Pilgrim Korean Rice Water Hydra Glow Face Moisturizer","50 g","₹248","₹275","9%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b41296ee-0519-4bb6-ad5c-70ee37846e10.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
