web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775704094-1","https://blinkit.com/cn/personal-care/face-cleaning/cid/163/1117","Simple Refreshing Face Wash","150 ml","₹349","₹450","22%
OFF","ADD","19 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772776645620-500.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775704094-2","https://blinkit.com/cn/personal-care/face-cleaning/cid/163/1117","Mamaearth Vitamin C Face Wash 50 ml","50 ml","₹113","₹125","9%
OFF","ADD","19 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770638287400-1139.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775704094-3","https://blinkit.com/cn/personal-care/face-cleaning/cid/163/1117","Cetaphil Gentle Skin Cleanser","118 ml","₹418","₹459","8%
OFF","ADD","19 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773735159250-243.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775704094-4","https://blinkit.com/cn/personal-care/face-cleaning/cid/163/1117","Plum Green Tea Pore Cleansing Face Wash - 50 ml","50 ml","₹130","₹199","34%
OFF","ADD","19 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770638287400-137.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775704094-5","https://blinkit.com/cn/personal-care/face-cleaning/cid/163/1117","The Derma Co 1% Kojic Acid Face Wash","100 ml","₹270","₹299","9%
OFF","ADD","19 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770696534079-1432.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775704094-6","https://blinkit.com/cn/personal-care/face-cleaning/cid/163/1117","Himalaya Purifying Neem Face Wash","150 ml","₹252","₹279","9%
OFF","ADD","19 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770632435673-2254.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775704094-7","https://blinkit.com/cn/personal-care/face-cleaning/cid/163/1117","Lacto Calamine Face Wash for Oily Skin","100 ml","₹120","","","ADD","19 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770696534079-1005.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775704094-8","https://blinkit.com/cn/personal-care/face-cleaning/cid/163/1117","Dot & Key Vitamin C + E Super Bright Gel Face Wash","100 ml","₹215","₹249","13%
OFF","ADD","19 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771403964237-169.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775704094-9","https://blinkit.com/cn/personal-care/face-cleaning/cid/163/1117","Nivea Men All-In-1 Charcoal Face Wash 100 g","100 g","₹199","₹285","30%
OFF","ADD","19 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770632435673-2291.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775704094-10","https://blinkit.com/cn/personal-care/face-cleaning/cid/163/1117","Dot & Key Barrier Repair + Hydrating Gentle Face Wash","100 ml","₹215","₹249","13%
OFF","ADD","19 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771403964237-142.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
