web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775703567-1","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Pregawear Disposable Period Panty","5 pcs","₹199","₹299","33%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/14ecf068-1a7d-447d-99a3-08916274419a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775703567-2","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Evereve Overnight Disposable Period Panty - Buy 1 Get 1 Free","10 pcs","₹200","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/687f4da2-f32b-4227-bf7e-77b7e74ea8c2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775703567-3","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Stayfree Secure Nights Sanitary Pads","18 pcs","₹130","₹149","12%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8d6fbd1f-3e1d-417a-b994-4aec330b15d9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775703567-4","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Evereve Overnight Disposable Period Panty - Buy 1 Get 1 Free","10 pcs","₹200","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3387f8ac-4855-4c46-8c63-bc91ef0e5128.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775703567-5","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Trawee Disposable Regular Panty","5 pcs","₹249","₹299","16%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c585135c-77b8-4d2c-bac3-d735c7cc67d1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775703567-6","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Whisper Choice Ultra Sanitary Pads","20 pcs","₹140","₹160","12%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d5a61191-fa0e-4ec6-9cab-b5f8d6c183ec.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775703567-7","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Stayfree Secure Cottony Soft Sanitary Pads","12 pcs","₹82","₹83","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8455c6fe-510c-4b21-803a-14305d535ff0.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775703567-8","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Whisper Super Absorbent Period Panty","6 pcs","₹177","₹299","40%
OFF","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774424113908-67.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775703567-9","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Trawee Disposable Regular Panty","5 pcs","₹249","₹299","16%
OFF","ADD","16 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e3095601-9949-4a2c-bfab-87598e659937.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775703567-10","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Whisper Choice Nights Sanitary Pads","16 pcs","₹110","₹150","26%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774434734091-76.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775703567-11","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Whisper Super Absorbent Period Panty","12 pcs","₹344","₹599","42%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774424113908-109.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775703567-12","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Stayfree Secure Cottony Soft Sanitary Pads (Extra Large Wings)","18 pcs","₹120","₹123","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/11691d7d-e6fb-4c89-bd0c-be2f74e76feb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775703567-13","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Stayfree Advanced All Nights Sanitary Pads","16 pcs","₹245","₹375","34%
OFF","ADD","12 mins","3 options","","",""
"1775703567-14","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Stayfree Secure Nights Sanitary Pads (XXL)","40 pcs","₹237","₹328","27%
OFF","ADD","12 mins","2 options","","",""
"1775703567-15","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Whisper Super Absorbent Period Panty","6 pcs","₹188","₹325","42%
OFF","ADD","12 mins","2 options","","",""
"1775703567-16","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Plush Comfort High Waist Disposable Period Panty (L-XL)","5 pcs","₹154","₹229","32%
OFF","ADD","12 mins","","","",""
"1775703567-17","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Evereve Overnight Disposable Period Panty","2 packs","₹220","","","ADD","12 mins","","","",""
"1775703567-18","https://blinkit.com/cn/personal-care/feminine-care/cid/163/723","Plush Comfort High Waist Disposable Period Panty (M-L)","5 pcs","₹146","₹219","33%
OFF","ADD","12 mins","","","",""
