web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775683036-1","https://blinkit.com/cn/home-office/festive-occasion-needs/cid/1379/1674","Metallic Spiral Cake Candle Party Propz","1 pack","₹79","₹299","73%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2de44ba1-3667-4c26-9598-7a56427ddcf9.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775683036-2","https://blinkit.com/cn/home-office/festive-occasion-needs/cid/1379/1674","Kumkum (Roli) by Shubhkart","50 g","₹18","₹20","10%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f9aba893-2d2e-4a4c-84d2-9a563185c901.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775683036-3","https://blinkit.com/cn/home-office/festive-occasion-needs/cid/1379/1674","Galaxy Fusions Dark Chocolate Bar with 70% Cocoa","56 g","₹117","₹130","10%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774603976366-431.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775683036-4","https://blinkit.com/cn/home-office/festive-occasion-needs/cid/1379/1674","Picfest Peg Maker","1 pc","₹59","₹100","41%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c21c1cff-e1af-43c7-a17e-2bf48e0006fa.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775683036-5","https://blinkit.com/cn/home-office/festive-occasion-needs/cid/1379/1674","Ruh Gulab Alcohol Free Attar by Sohum","7 ml","₹99","₹299","66%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4104134e-80a0-4668-a96f-ca7f96068558.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775683036-6","https://blinkit.com/cn/home-office/festive-occasion-needs/cid/1379/1674","Auradecor Ceramic Diffuser Gift Set (Jasmine Aroma, Brown)","5 pcs","₹159","₹399","60%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ff468843-da6e-4e12-870d-909147d509c6.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775683036-7","https://blinkit.com/cn/home-office/festive-occasion-needs/cid/1379/1674","Heart Shape Tea Light Candles (Rose, Red) by Auradecor","10 pcs","₹139","₹399","65%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c19820f3-14ca-49bb-920d-df5680134e87.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775683036-8","https://blinkit.com/cn/home-office/festive-occasion-needs/cid/1379/1674","Auradecor Ceramic Diffuser Gift Set (Lemon Aroma, Cream)","5 pcs","₹159","₹399","60%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/862258aa-3eaa-471b-a1b4-0cb5617d948f.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775683036-9","https://blinkit.com/cn/home-office/festive-occasion-needs/cid/1379/1674","Candle (White) by Auradecor","10 pcs","₹59","₹149","60%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/604b5d32-1163-4865-b82b-c1e89fc1b810.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775683036-10","https://blinkit.com/cn/home-office/festive-occasion-needs/cid/1379/1674","Party Poppers (Rose Petals) Party Propz","1 pc","₹79","₹199","60%
OFF","20 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4fa49303-7f22-499a-8d34-8c9dbff00d6b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
