web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775678894-1","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","Lizol Disinfectant Surface & Floor Cleaner (Citrus) 1.8 l","1.8 ltr","₹300","₹329","8%
OFF","ADD","22 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b3f189f5-9b35-499c-9ca4-2311840f577d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775678894-2","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","ITC Nimyle Floor Cleaner - Pine","890 ml","₹115","₹125","8%
OFF","ADD","22 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772721745362-206.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678894-3","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","Dettol Antiseptic Liquid - 250 ml","250 ml","₹159","","","ADD","22 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/28e22703-546d-4db7-a48a-6011c455a24d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678894-4","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","Lizol Disinfectant Surface & Floor Cleaner","625 ml","₹169","","","ADD","22 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/69ddb2e0-cb3e-4f1a-87ec-1841b5214c48.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678894-5","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","Koparo Clean Floor Cleaner & Surface Disinfectant (Jasmine & Rose)","1 ltr","₹169","₹265","36%
OFF","ADD","22 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773287661476-835.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775678894-6","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","Lizol Shakti Disinfectant Floor Cleaner - Rose Fresh","900 ml","₹125","₹135","7%
OFF","ADD","22 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770705263225-1896.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678894-7","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","Gainda Phenyl (White) - 1ltr","1 ltr","₹63","₹75","16%
OFF","ADD","22 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/46c965ae-b454-427e-b556-dc4447594433.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678894-8","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","Colin Glass Cleaner (500 ml)","500 ml","₹120","","","ADD","22 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d47ed039-5c5f-427e-a1e4-75d7da3df1e9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678894-9","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","SaveMore Pine Phenyl Liquid","1 ltr","₹56","₹80","30%
OFF","ADD","22 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/930313f8-b1a4-4002-9a42-577376540580.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678894-10","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","Boroline Suthol Skin Antiseptic Liquid - Neem","100 ml","₹47","","","ADD","22 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2602f114-e5de-4677-b094-afb5c8899415.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678894-11","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","Patanjali Gonyle Floor Cleaner","1 ltr","₹75","","","ADD","22 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5a86b0d3-a72e-4698-9381-3df60dbc5656.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png",""
"1775678894-12","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","Mr Muscle Sparkling Clean Floor Cleaner (Floral)","2 ltr","₹345","₹445","22%
OFF","ADD","22 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773048060308-925.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png"
"1775678894-13","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","Dettol Germ Defence Antiseptic Liquid 750 ml","750 ml","₹364","","","ADD","22 mins","","","",""
"1775678894-14","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","Lizol Disinfectant Surface & Floor Cleaner 1 l","1 ltr","₹227","₹260","12%
OFF","ADD","22 mins","3 options","","",""
"1775678894-15","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","Urban Wipe Kitchen Cleaner","500 ml","₹199","₹299","33%
OFF","ADD","30 mins","","","",""
"1775678894-16","https://blinkit.com/cn/cleaning-essentials/floor-surface-cleaners/cid/18/51","Mr Muscle Floor Cleaner - Citrus","2 ltr","₹345","₹445","22%
OFF","ADD","22 mins","","","",""
