web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775668993-1","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Amul Organic Besan","₹88","₹92","","ADD","500 g","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/22092644-6ef2-453d-8af8-1124b235e504.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668993-2","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Aashirvaad Organic Atta","₹318","₹414","23%
OFF","ADD","5 kg","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0a222058-6fb7-4df3-9419-decfd65529f9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668993-3","https://blinkit.com/cn/organic-premium/flour/cid/175/801","24 Mantra Organic Wheat Daliya","₹59","₹70","15%
OFF","ADD","500 g","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770788511345-287.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668993-4","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Aashirvaad Organic Atta","₹70","₹86","18%
OFF","ADD","1 kg","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b9bb083d-b44f-42a7-922c-39abd37a446c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668993-5","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Organic Tattva Organic Ragi Flour","₹94","₹95","","ADD","500 g","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8d7f3901-6a41-48fe-8dab-8f7051f3b952.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668993-6","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Organic Tattva Wheat Organic Atta - 1 kg","₹58","₹85","31%
OFF","ADD","1 kg","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a6be257d-8d32-4b37-9f15-a72398d6a2fd.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668993-7","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Organic Tattva Organic Maida","₹57","₹65","12%
OFF","ADD","500 g","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/291c4d5d-c7a7-4226-8eeb-b26610317757.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668993-8","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Organic Tattva Organic Sooji","₹65","₹75","13%
OFF","ADD","500 g","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/21825a1e-6fd7-4a9f-9692-aa21f926e098.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668993-9","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Organic Tattva Multigrain Organic Atta","₹100","₹125","20%
OFF","ADD","1 kg","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f61dc7f1-ed4b-45d1-864c-2446a8de1959.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668993-10","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Organic Tattva Wheat Organic Atta - 5 kg","₹290","₹399","27%
OFF","ADD","5 kg","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2496ea2d-786f-4f6f-b8a1-3c8adae5d142.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668993-11","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Organic Tattva Wheat Organic Daliya","₹61","₹70","12%
OFF","ADD","500 g","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ba586047-08ec-4170-8ecc-82257542f5fa.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668993-12","https://blinkit.com/cn/organic-premium/flour/cid/175/801","24 Mantra Organic Idly Rava/Sooji","₹69","₹75","8%
OFF","ADD","500 g","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770788511345-257.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775668993-13","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Organic Tattva Organic Red Poha 500 g","₹96","₹99","","ADD","500 g","15 mins","",""
"1775668993-14","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Two Brothers Khapli Wheat Atta, Stoneground (Organic Khapli Gahu Atta)","₹247","₹259","","ADD","1 kg","15 mins","",""
"1775668993-15","https://blinkit.com/cn/organic-premium/flour/cid/175/801","24 Mantra Organic Jowar Flour","₹78","₹85","8%
OFF","ADD","500 g","15 mins","",""
"1775668993-16","https://blinkit.com/cn/organic-premium/flour/cid/175/801","24 Mantra Organic Ragi Flour","₹82","₹90","8%
OFF","ADD","500 g","15 mins","",""
"1775668993-17","https://blinkit.com/cn/organic-premium/flour/cid/175/801","24 Mantra Organic Sattu","₹122","₹140","12%
OFF","ADD","500 g","15 mins","",""
"1775668993-18","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Organic Tattva Organic Foxtail Millet","₹119","₹145","17%
OFF","ADD","500 g","15 mins","",""
"1775668993-19","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Organic Tattva Organic White Poha","₹79","₹89","11%
OFF","ADD","500 g","15 mins","",""
"1775668993-20","https://blinkit.com/cn/organic-premium/flour/cid/175/801","True Story 100% Pure Organic Ragi Flour","₹68","₹80","15%
OFF","ADD","500 g","15 mins","",""
"1775668993-21","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Praakritik Natural Organic Khapli Wheat Atta - 1 Kg","₹162","₹189","14%
OFF","ADD","1 kg","15 mins","",""
"1775668993-22","https://blinkit.com/cn/organic-premium/flour/cid/175/801","24 Mantra Organic Rice Flour","₹58","₹70","17%
OFF","ADD","500 g","15 mins","",""
"1775668993-23","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Organic Tattva Organic Besan","₹107","₹125","14%
OFF","ADD","500 g","15 mins","",""
"1775668993-24","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Pro Nature Red Organic Red Poha","₹91","₹96","5%
OFF","ADD","500 g","15 mins","",""
"1775668993-25","https://blinkit.com/cn/organic-premium/flour/cid/175/801","True Story Organic Jowar Flour","₹60","₹75","20%
OFF","ADD","500 g","15 mins","",""
"1775668993-26","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Organic Tattva - Makki Atta (Maize Flour)/Makka Atta","₹56","₹70","20%
OFF","ADD","500 g","15 mins","",""
"1775668993-27","https://blinkit.com/cn/organic-premium/flour/cid/175/801","24 Mantra Organic Besan","₹109","₹125","12%
OFF","ADD","500 g","15 mins","",""
"1775668993-28","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Natureland - Organic Bajra Flour","₹62","₹70","11%
OFF","ADD","500 g","15 mins","",""
"1775668993-29","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Natureland - Organic Ragi Flour","₹70","₹79","11%
OFF","ADD","500 g","15 mins","",""
"1775668993-30","https://blinkit.com/cn/organic-premium/flour/cid/175/801","Natureland Organic Buckwheat/Kuttu Flour","₹99","₹195","49%
OFF","ADD","500 g","15 mins","",""
