web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775587548-1","https://blinkit.com/cn/vegetables-fruits/fresh-fruits/cid/1487/1503","Kiran - Watermelon (Tarbuj)","2.25 kg","₹82","₹97","15%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772165621532-12.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587548-2","https://blinkit.com/cn/vegetables-fruits/fresh-fruits/cid/1487/1503","Green Grapes (Angur)","250 g","₹76","₹95","20%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3cd3be4e-a77a-4056-a600-8fda005ba715.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587548-3","https://blinkit.com/cn/vegetables-fruits/fresh-fruits/cid/1487/1503","Guava","2 pcs","₹36","₹41","12%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/26789a74-c7cc-4a50-b6c8-a689eca0e336.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587548-4","https://blinkit.com/cn/vegetables-fruits/fresh-fruits/cid/1487/1503","Brown Coconut (Narkel)","1 pc","₹44","₹54","18%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b27395a2-a1dc-45ca-8fe2-a3f7dce31272.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587548-5","https://blinkit.com/cn/vegetables-fruits/fresh-fruits/cid/1487/1503","Banana (Kola)","3 pcs","₹25","₹31","19%
OFF","ADD","14 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b89fe4bd-2018-4502-a80e-d8dc274955b8.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587548-6","https://blinkit.com/cn/vegetables-fruits/fresh-fruits/cid/1487/1503","Small Shimla Apple (Appl)","500 g","₹159","₹187","14%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2df4a366-f6a8-4e63-9111-ec43b0ccdd86.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587548-7","https://blinkit.com/cn/vegetables-fruits/fresh-fruits/cid/1487/1503","Kinnaur Apple (Appl)","300 g","₹107","₹129","17%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2984397c-2b1a-4b78-b896-142e05c1819b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587548-8","https://blinkit.com/cn/vegetables-fruits/fresh-fruits/cid/1487/1503","Avocado Hass - Tanzania","150 g","₹79","₹130","39%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1f88e07e-0cda-431d-b5ac-bf62c33a864c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587548-9","https://blinkit.com/cn/vegetables-fruits/fresh-fruits/cid/1487/1503","Sapota (Chikoo)","200 g","₹46","₹58","20%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0a68776b-da77-4f25-97af-70942ceaf6c9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587548-10","https://blinkit.com/cn/vegetables-fruits/fresh-fruits/cid/1487/1503","Tender Coconut (Small) (Daab)","1 pc","₹77","₹90","14%
OFF","ADD","14 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3a02a8e4-6411-4f16-ab4b-5de1aaef3299.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
