web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775587472-1","https://blinkit.com/cn/fresh-vegetables/cid/1487/1489","Onion (Peyaj)","1 kg","₹29","₹37","21%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1ec5d712-5139-43b6-b4c9-b0e2efeeeb2c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587472-2","https://blinkit.com/cn/fresh-vegetables/cid/1487/1489","Green Chilli (Lanka)","100 g","₹13","₹15","13%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9b4cd95e-3f9e-4305-92a0-16d9875c6b4d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587472-3","https://blinkit.com/cn/fresh-vegetables/cid/1487/1489","New Chandramukhi Potato (Alu)","1 kg","₹20","₹26","23%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9231caae-bf9a-446e-aeb0-d414b44a06e3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587472-4","https://blinkit.com/cn/fresh-vegetables/cid/1487/1489","Orange Carrot (Gajor)","500 g","₹20","₹24","16%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3de12ff4-882f-40c0-98d8-ff082ecdcf58.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587472-5","https://blinkit.com/cn/fresh-vegetables/cid/1487/1489","Ginger (Adrak)","200 g","₹26","₹33","21%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e7c9461c-4a81-46cc-8215-5f9155026a6e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587472-6","https://blinkit.com/cn/fresh-vegetables/cid/1487/1489","Green Cucumber (Shosha)","500 g","₹23","₹27","14%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e29ff4ab-7a96-4b90-b251-0489fa0416a2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587472-7","https://blinkit.com/cn/fresh-vegetables/cid/1487/1489","Green Capsicum (Shimla Mircha)","250 g","₹24","₹28","14%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0908a205-26bf-4135-969a-9002b302069c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587472-8","https://blinkit.com/cn/fresh-vegetables/cid/1487/1489","Lemon (Lebu)","200 g","₹35","₹49","28%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2d79def7-60ff-4d91-a80d-c99112fd2639.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587472-9","https://blinkit.com/cn/fresh-vegetables/cid/1487/1489","Desi Tomato (Tamatar)","500 g","₹12","₹18","33%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/27a22d9c-469e-483d-bebf-7a2b1e86a64c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775587472-10","https://blinkit.com/cn/fresh-vegetables/cid/1487/1489","Garlic (Lehsun)","200 g","₹21","₹24","12%
OFF","10 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4fcbc1fe-5a04-465f-9558-7ea73e9f8b1f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
