web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775593444-1","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Godrej Yummiez Chicken Momos - 15 pcs","420 g","₹169","₹234","27%
OFF","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770272975530-689.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-2","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Haringhata Chicken Nuggets (Frozen)","250 g","₹140","","","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/087c4d9d-abb7-4940-bd9f-d736acd743c6.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-3","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Godrej Yummiez Chicken Nuggets","500 g","₹279","₹346","19%
OFF","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770729565288-4.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-4","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Haringhata Chicken Popcorn (Frozen)","250 g","₹120","","","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c8582dd9-d95b-428e-8d47-c9c1df32c76d.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-5","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","IFB Fresh Catch Kolkata Bhetki Fish Fry (Frozen)","260 g","₹446","₹506","11%
OFF","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/65ee0f11-26d9-41e5-ab81-ddca899b1d32.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-6","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Haringhata Chicken Seekh Kebab (Frozen)","250 g","₹155","","","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/30f2c80e-7a76-40c6-9403-83eac080f9c7.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-7","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Haringhata Fish Fingers (Frozen)","5 pcs","₹135","","","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e0c363b7-e50d-4d3f-ad05-47322298187a.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-8","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Godrej Yummiez Cheese & Chicken Nuggets (Frozen)","325 g","₹249","₹267","6%
OFF","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/165fe28b-2293-4005-b29c-c769b45abc43.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-9","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","IFB Fresh Catch Breaded Fish Fillet","200 g","₹198","₹225","12%
OFF","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5755af5d-8fa3-4a35-809c-b1bcca87ace8.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-10","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","ITC Master Chef Chicken Seekh Kebab","500 g","₹300","₹340","11%
OFF","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770272975530-88.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
