web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775589675-1","https://blinkit.com/cn/cold-drinks-juices/fruit-juice/cid/332/955","Maaza Mango Drink 600 ml","600 ml","₹35","","","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bd4d64b7-7c43-449a-ac11-4a3ddfad644d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775589675-2","https://blinkit.com/cn/cold-drinks-juices/fruit-juice/cid/332/955","Pran Litchi Fruit Juice","150 ml","₹10","","","ADD","13 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c7f742ae-65cf-44b3-9c04-485bc6875f56.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775589675-3","https://blinkit.com/cn/cold-drinks-juices/fruit-juice/cid/332/955","7UP Nimbooz with Lemon Juice","350 ml","₹25","","","ADD","13 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2e5f96c5-fa3d-4d72-a739-482275ea7662.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775589675-4","https://blinkit.com/cn/cold-drinks-juices/fruit-juice/cid/332/955","Mogu Mogu Lychee Fruit Drink with Nata De Coco","320 ml","₹67","₹70","","ADD","13 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773548322922-230.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775589675-5","https://blinkit.com/cn/cold-drinks-juices/fruit-juice/cid/332/955","Maaza Mango Drink","1.75 ltr","₹74","₹90","17%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1edecf80-9ebb-42a2-a094-9e9a7caf7960.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775589675-6","https://blinkit.com/cn/cold-drinks-juices/fruit-juice/cid/332/955","Minute Maid Pulpy Orange Fruit Drink","1 ltr","₹77","₹85","9%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770356946958-256.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775589675-7","https://blinkit.com/cn/cold-drinks-juices/fruit-juice/cid/332/955","Real Activ Cranberry Juice","1 ltr","₹149","₹175","14%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/edb88993-64b4-415d-8c0d-8fe08c104a25.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775589675-8","https://blinkit.com/cn/cold-drinks-juices/fruit-juice/cid/332/955","Slice Mango Drink","600 ml","₹35","","","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/37460a89-69cb-4e28-b3a8-5c02f0d61f56.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775589675-9","https://blinkit.com/cn/cold-drinks-juices/fruit-juice/cid/332/955","Mogu Mogu Strawberry Fruit Drink","320 ml","₹67","₹70","","ADD","13 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771857245207-326.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775589675-10","https://blinkit.com/cn/cold-drinks-juices/fruit-juice/cid/332/955","Real Fruit Power Mixed Fruit Juice","1.25 ltr","₹95","₹100","5%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772698047485-46.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775589675-11","https://blinkit.com/cn/cold-drinks-juices/fruit-juice/cid/332/955","Real Fruit Power Orange Juice","1 ltr","₹113","₹122","7%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0fae80cd-5658-4ff9-9582-79766b7c2f7b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
