web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775679637-1","https://blinkit.com/cn/cleaning-essentials/garbage-bags/cid/18/1833","Crystal Garbage Bag (Medium, Black)","3 x 30 pcs","₹185","₹225","17%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/69103761-9a05-4582-8c7e-e32cb82e4c61.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679637-2","https://blinkit.com/cn/cleaning-essentials/garbage-bags/cid/18/1833","Elefant Daily Use Garbage Bag (Medium)","30 pcs","₹69","₹70","","27 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1079d834-6ff4-40db-b702-96a1ddebda07.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679637-3","https://blinkit.com/cn/cleaning-essentials/garbage-bags/cid/18/1833","Crystal Garbage Bag (Medium, Black)","30 pcs","₹67","₹100","33%
OFF","27 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/eb9aaac8-34ff-4ea3-ad40-2eee2244414f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679637-4","https://blinkit.com/cn/cleaning-essentials/garbage-bags/cid/18/1833","Elefant Daily Use Garbage Bag (Large)","15 pcs","₹79","₹80","","27 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/731b2450-0222-4d10-bdcb-d2f369cabf30.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679637-5","https://blinkit.com/cn/cleaning-essentials/garbage-bags/cid/18/1833","Crystal Garbage Bag (Large, Black)","15 pcs","₹73","₹80","8%
OFF","27 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a5e936fc-dc01-4c20-935d-a18ad1fe10d1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679637-6","https://blinkit.com/cn/cleaning-essentials/garbage-bags/cid/18/1833","URGO Lemon Scented Garbage Bag (Medium)","30 pcs","₹71","₹120","40%
OFF","27 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773114156723-849.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679637-7","https://blinkit.com/cn/cleaning-essentials/garbage-bags/cid/18/1833","Crystal Garbage Bag (Large, Green)","15 pcs","₹78","₹90","13%
OFF","27 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3ed6d3e6-672d-4fad-aa35-66f799419b50.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679637-8","https://blinkit.com/cn/cleaning-essentials/garbage-bags/cid/18/1833","Crystal Oxo-Biodegradable Garbage Bag (Large, Black)","15 pcs","₹67","₹110","39%
OFF","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7c516f2f-8ca5-4bfd-87e1-f1f479639bff.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679637-9","https://blinkit.com/cn/cleaning-essentials/garbage-bags/cid/18/1833","Crystal Garbage Bag Roll (Extra Large, Black)","10 pcs","₹109","₹110","","27 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5f3ebd9b-e5e5-4de9-93c0-7fc7ec0d74f5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775679637-10","https://blinkit.com/cn/cleaning-essentials/garbage-bags/cid/18/1833","Crystal Garbage Bag (Medium, Blue)","30 pcs","₹72","₹85","15%
OFF","27 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4f537864-97e5-4801-8f6f-0de9b4b271e5.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
