web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775626734-1","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Go Fresho A2 Handmade Cow Ghee","500 ml","₹699","₹900","22%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/46b3422b-d0fd-4f3f-b059-3a047ef7dd3e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626734-2","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Jharna Brown Ghee 250 g (Bhojon Ghee)","250 g","₹190","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/059e5e44-c86f-4857-8f84-fcb42a59885c.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626734-3","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Jharna Brown Ghee 100 g (Bhojon Ghee)","100 g","₹81","₹82","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5e2f4a20-fd61-4537-84d2-61e805dc6973.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626734-4","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Jharna Brown Ghee 500 g (Bhojon Ghee)","500 g","₹375","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f8681202-7daa-4285-a531-7eb4a9e4822c.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626734-5","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Himalayan Natives Bilona Organic Ghee","1 ltr","₹875","₹1,799","51%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775108685512-140.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626734-6","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Aashirvaad Svasti Pure Cow Ghee (Gaayer Ghee)","200 ml","₹193","₹210","8%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0aca722a-4db8-44c8-a517-ecc520adc438.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626734-7","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Gowardhan Premium Cow Ghee (Gaayer Ghee)","200 ml","₹191","₹199","","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9119899b-5067-4ca3-8a90-96483ea6c901.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626734-8","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Gold Touch Brown Ghee (Bhojon Ghee)","200 ml","₹150","₹182","17%
OFF","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/93d327bd-346b-469a-a45e-8ac9409b1d08.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626734-9","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Himalayan Natives Original Cow Ghee","1 ltr","₹699","₹1,049","33%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ab421099-81b1-4b35-bc6d-c28fb867f9c0.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626734-10","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Amul Cow Ghee (Gaayer Ghee)","500 ml","₹316","₹325","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d5c4faab-9950-425c-a395-035982af5019.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626734-11","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Anveshan Desi Cow A2 Ghee - Bilona Churned","150 ml","₹253","₹285","11%
OFF","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/439a92c1-c61c-4c6c-bc39-ecacbb5df98b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626734-12","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Annapurna Brown Ghee (Bhojon Ghee)","250 ml","₹209","₹218","","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e8b0c164-1a19-4055-8557-905a6cd3798e.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626734-13","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Himalayan Natives Bilona Organic Cow Ghee","500 ml","₹549","₹949","42%
OFF","ADD","13 mins","","","",""
"1775626734-14","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Morton Brown Ghee (Bhojon Ghee)","100 ml","₹104","","","ADD","12 mins","3 options","","",""
"1775626734-15","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Amul Cow Ghee (Gaayer Ghee)","1 ltr","₹618","₹645","","ADD","12 mins","","","",""
"1775626734-16","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Patanjali Cow Ghee (1 l) (Gaayer Ghee)","1 ltr","₹800","","","ADD","12 mins","","","",""
"1775626734-17","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Haribol Desi Cow A2 Ghee","500 ml","₹739","₹995","25%
OFF","ADD","13 mins","","","",""
"1775626734-18","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Just Organik A2 Ghee","500 ml","₹776","₹1,150","32%
OFF","ADD","13 mins","","","",""
"1775626734-19","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Annapurna Pure Cow Ghee (Gaayer Ghee)","1 ltr","₹749","₹790","5%
OFF","ADD","12 mins","","","",""
"1775626734-20","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Trihoot Pure Cow Ghee","500 ml","₹400","₹410","","ADD","13 mins","","","",""
"1775626734-21","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Indicow Kankrej Bilona Cow A2 Ghee","1 ltr","₹1,255","₹1,299","","ADD","13 mins","","","",""
"1775626734-22","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Dalda Vanaspati","840 g","₹163","₹195","16%
OFF","ADD","12 mins","","","",""
"1775626734-23","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Organic India Pure Cow Ghee","250 ml","₹365","₹445","17%
OFF","ADD","12 mins","2 options","","",""
"1775626734-24","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Anik Ghee","200 ml","₹153","","","ADD","12 mins","2 options","","",""
"1775626734-25","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Indicow A2 Kankrej Bilona Cow Ghee","500 ml","₹645","₹699","7%
OFF","ADD","13 mins","","","",""
"1775626734-26","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Natureland Organics A2 Desi Cow Ghee","350 ml","₹319","₹650","50%
OFF","ADD","13 mins","","","",""
"1775626734-27","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Patanjali Cow Ghee (Gaayer Ghee)","200 ml","₹178","","","ADD","12 mins","2 options","","",""
"1775626734-28","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Amul Cow Ghee (Tin) (Gaayer Ghee)","1 ltr","₹660","₹675","","ADD","12 mins","","","",""
"1775626734-29","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Milkfood Rich Desi Ghee","450 ml","₹290","₹338","14%
OFF","ADD","12 mins","2 options","","",""
"1775626734-30","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Gowardhan Cow Ghee (Gaayer Ghee)","1 ltr","₹768","₹810","5%
OFF","ADD","12 mins","","","",""
"1775626734-31","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Himalayan Natives Bilona Organic Cow Ghee","500 ml","₹549","₹949","42%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/abc25d27-c4cd-4d58-972e-ce39a2613d86.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626734-32","https://blinkit.com/cn/dry-fruits-masala-oil/ghee-vanaspati/cid/1557/1158","Morton Brown Ghee (Bhojon Ghee)","100 ml","₹104","","","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/46d3f85f-5f6c-4a71-ba81-4194cdf49cc8.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
