web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775624442-1","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Britannia Marie Gold Vita Marie Biscuits","166.8 g","₹30","","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c50adacb-2450-4aba-82fd-5bda50278ad2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-2","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Britannia Marie Gold Marie Biscuits (208 g)","208 g","₹38","₹40","5%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/58f0aa25-e036-464b-adf2-cd22cdc4b983.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-3","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Britannia Marie Gold Marie Biscuits Family Pack","1 kg","₹130","₹145","10%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8ca28ca6-6d43-4a16-a1ed-898c133a9fa3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-4","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Bisk Farm Rich Marie Biscuits","280 g","₹34","₹35","","12 mins","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/32630835-08b4-4bed-b4f8-5da1c0d4d627.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-5","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Parle Marie Biscuits","250 g","₹36","","","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/cc0cfee5-38fd-4808-9666-8f9963d0b9df.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-6","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Parle Marie Biscuits","800 g","₹105","₹205","48%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d4dd004c-2529-464f-90fb-d91f9b0f5986.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-7","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Parle-G Original Gluco Biscuit","800 g","₹84","₹90","6%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/26ac5f6a-2b93-4633-8e6d-1d50904c11d3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-8","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Britannia Milk Bikis Atta Biscuit","500 g","₹71","₹75","5%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/76049ccf-9367-4eee-9137-256bf02f1494.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-9","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Sunfeast Marie Light -Active Marie Biscuits","260 g","₹29","₹33","12%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771667792511-375.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-10","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Parle-G Glucose Biscuit","250 g","₹27","","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7eaa9f5f-38a4-4c79-9c0a-38737a56be90.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-11","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Sunfeast Marie Light Active Marie Biscuits 956 g","956 g","₹103","₹150","31%
OFF","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771667792511-440.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-12","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Parle-G Gold Glucose Biscuit 1 kg","1 kg","₹150","₹160","6%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a54720d4-a6a1-4b61-90d4-d37920be1980.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-13","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Patanjali Doodh Biscuit","255 g","₹40","","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/92f5c597-0264-4096-96c6-4931a08fca16.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-14","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Parle-G Dark Biscuit","120 g","₹20","","","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c183a593-9789-4bd1-ae8f-3d38cc153cfa.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-15","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Parle Milk Shakti Biscuit","350 g","₹48","₹90","46%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fe9186a2-4734-434e-930a-06230002f6b9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-16","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Parle-G Royale Glucose Biscuit","360 g","₹68","₹75","9%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2dea3f50-b65e-4da0-a39f-ee9a6d1c21a0.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-17","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Sunfeast Glucose Plus Biscuit","1 kg","₹92","₹124","25%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771667792511-467.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624442-18","https://blinkit.com/cn/bakery-biscuits/glucose-marie/cid/888/209","Britannia Marie Gold Marie Biscuits - Buy 4 Get 1 Free","585 g","₹88","₹90","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8e3d0b0b-e1c2-41e0-bfe9-5fdb5e09bee1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
