web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775624920-1","https://blinkit.com/cn/bakery-biscuits/gourmet-bakery/cid/888/1959","The Baker's Dozen Zero Maida Whole Wheat Country Sourdough Bread","330 g","₹150","₹159","5%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775048805727-19.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624920-2","https://blinkit.com/cn/bakery-biscuits/gourmet-bakery/cid/888/1959","Mio Amore Tea Time Puff","150 g","₹44","","","14 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f4d6328a-b8c8-42c5-a7ff-966c5985ce4b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624920-3","https://blinkit.com/cn/bakery-biscuits/gourmet-bakery/cid/888/1959","Mio Amore Golden Wings Biscuit","100 g","₹44","","","14 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d87d4366-5686-4324-b27f-d76b299278f3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624920-4","https://blinkit.com/cn/bakery-biscuits/gourmet-bakery/cid/888/1959","Mio Amore Shrewsbury Cookies","150 g","₹88","","","14 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0574e138-44fd-4d74-848d-0849a7db746b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624920-5","https://blinkit.com/cn/bakery-biscuits/gourmet-bakery/cid/888/1959","The Baker's Dozen Zero Maida Multigrain Bread","375 g","₹75","","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775108685512-122.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624920-6","https://blinkit.com/cn/bakery-biscuits/gourmet-bakery/cid/888/1959","The Baker's Dozen Zero Maida Ragi Multigrain Bread","240 g","₹60","","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775108685512-131.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624920-7","https://blinkit.com/cn/bakery-biscuits/gourmet-bakery/cid/888/1959","The Baker's Dozen Choco Chip Muffin","45 g","₹40","","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775226565260-483.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624920-8","https://blinkit.com/cn/bakery-biscuits/gourmet-bakery/cid/888/1959","The Baker's Dozen Choco Filled Donut Cake (Zero Maida)","42 g","₹30","","","12 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/07cdf18f-8c34-4991-8d80-6e19c2104611.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624920-9","https://blinkit.com/cn/bakery-biscuits/gourmet-bakery/cid/888/1959","Mio Amore Chocolate Fudge Cookies","150 g","₹88","","","14 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4d493904-923a-42f4-9848-9fcf72594df4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624920-10","https://blinkit.com/cn/bakery-biscuits/gourmet-bakery/cid/888/1959","Mio Amore Biscuit Sticks","100 g","₹53","","","14 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/20e360b0-f8b4-4faf-821b-d8f146bef1aa.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
