web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775704864-1","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Parachute Advansed Gold 5X Aloe Vera Hair Oil","400 ml","₹258","₹330","21%
OFF","ADD","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771782930535-1703.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704864-2","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Shalimar's Coconut Hair Oil","100 ml","₹89","₹99","10%
OFF","ADD","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771782930535-771.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704864-3","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Shalimar's Coconut Hair Oil","175 ml","₹129","₹143","9%
OFF","ADD","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771782930535-767.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704864-4","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Parachute 100% Pure Coconut Oil","300 ml","₹200","₹222","9%
OFF","ADD","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771782930535-969.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704864-5","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Parachute Advansed Aloe Vera Enriched Coconut Hair Oil Gold 5X Aloe Vera","225 ml","₹179","₹210","14%
OFF","ADD","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771782930535-2851.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704864-6","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","L'Oreal Paris Glycolic Gloss Shampoo","200 ml","₹200","₹210","","ADD","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771931930830-184.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704864-7","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","L'Oreal Paris Hyaluron Moisture Shampoo","200 ml","₹200","₹210","","ADD","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771923717021-6696.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704864-8","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Tresemme Keratin Smooth Shampoo","180 ml","₹172","","","ADD","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772776645620-427.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704864-9","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Livon Keratin Damage Repair Shampoo","340 ml","₹200","₹299","33%
OFF","ADD","24 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775551637536-639.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775704864-10","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Dove Hair Fall Rescue Shampoo","180 ml","₹172","","","ADD","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771931062015-111.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704864-11","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","L'Oreal Paris Hyaluron Moisture 72H Moisture Sealing Conditioner","175 ml","₹244","₹345","29%
OFF","ADD","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773044527074-8.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704864-12","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Clinic Plus Strong & Long Shampoo with Milk Proteins","175 ml","₹140","","","ADD","15 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771931062015-40.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775704864-13","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Livon Hyaluron Intense Hydration Shampoo","340 ml","₹200","₹299","33%
OFF","ADD","24 mins","","",""
"1775704864-14","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Scalpe Pro Daily Anti Dandruff Shampoo","100 ml","₹209","₹220","5%
OFF","ADD","15 mins","","",""
"1775704864-15","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","L'Oreal Paris Total Repair 5 Conditioner","175 ml","₹218","₹329","33%
OFF","ADD","15 mins","","",""
"1775704864-16","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Clinic Plus Strong & Long Health Shampoo","340 ml","₹254","₹340","25%
OFF","ADD","15 mins","","",""
"1775704864-17","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Clinic Plus Strength & Shine Egg with Protein Shampoo","355 ml","₹273","₹365","25%
OFF","ADD","15 mins","","",""
"1775704864-18","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Head & Shoulders Anti Dandruff Anti Hairfall Shampoo","180 ml","₹194","₹199","","ADD","15 mins","","",""
"1775704864-19","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Indulekha Bringha Anti-Hairfall Shampoo","180 ml","₹243","","","ADD","15 mins","","",""
"1775704864-20","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Max Care Virgin Coconut Hair Oil","250 ml","₹263","₹325","19%
OFF","ADD","15 mins","","",""
"1775704864-21","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Indulekha Bringha Anti-Hairfall Shampoo","100 ml","₹135","","","ADD","15 mins","","",""
"1775704864-22","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Bajaj Almond Drops Non-Sticky Hair Oil 95 ml","95 ml","₹85","","","ADD","15 mins","","",""
"1775704864-23","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Indulekha Bhringraj Hair Oil 100 ml","100 ml","₹320","₹477","32%
OFF","ADD","15 mins","","",""
"1775704864-24","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","L'Oreal Paris Hyaluron Pure 72H Purifying Shampoo","200 ml","₹223","₹259","13%
OFF","ADD","15 mins","","",""
"1775704864-25","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Shalimar's Jasmine Coconut Hair Oil","100 ml","₹32","₹37","13%
OFF","ADD","15 mins","","",""
"1775704864-26","https://blinkit.com/cn/personal-care/hair-care/cid/163/691","Tresemme Keratin Smooth Shampoo","580 ml","₹491","₹865","43%
OFF","ADD","15 mins","","",""
