web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775703826-1","https://blinkit.com/cn/personal-care/handwash/cid/163/699","Savlon Deep Clean Germ Protection Liquid Hand Wash Refill","650 ml","₹95","₹99","","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f14f1a7b-2842-4803-a725-c1d15f18b942.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775703826-2","https://blinkit.com/cn/personal-care/handwash/cid/163/699","Dettol Skincare Hand Wash Refill","675 ml","₹101","₹109","7%
OFF","ADD","18 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/2135d76d-7624-4a18-9a41-afdec37a45f9.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775703826-3","https://blinkit.com/cn/personal-care/handwash/cid/163/699","Santoor Mild Hand Wash Lotus & Tulsi - Buy 1 Get 1 Free","400 ml","₹85","₹99","14%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/eafba58b-a0c6-42c0-87d0-d40faf56cdea.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775703826-4","https://blinkit.com/cn/personal-care/handwash/cid/163/699","Dettol Original Hand Wash Refill 675 ml","675 ml","₹101","₹109","7%
OFF","ADD","18 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/aa08dedd-7ce2-4188-bce3-aa2f33abf82e.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775703826-5","https://blinkit.com/cn/personal-care/handwash/cid/163/699","Savlon Moisture Shield Germ Protection Hand Wash","200 ml","₹59","₹79","25%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/76aa1806-5763-4652-a051-afccb566ed68.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775703826-6","https://blinkit.com/cn/personal-care/handwash/cid/163/699","Dettol Liquid Hand Wash Refill Pouch - Moisturizing Skincare","1.35 ltr","₹155","₹219","29%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7defd84a-87fe-4704-a2fa-ce372b67ca89.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775703826-7","https://blinkit.com/cn/personal-care/handwash/cid/163/699","Santoor Classic Hand Wash with Sandalwood","650 ml","₹82","₹99","17%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/042da512-521b-4671-8b0e-3adeb10ca971.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775703826-8","https://blinkit.com/cn/personal-care/handwash/cid/163/699","Dettol pH-Balanced Sensitive Hand Wash (Refill)","675 ml","₹109","","","ADD","18 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/21ca0dd4-376e-407a-be2c-32f05a005008.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775703826-9","https://blinkit.com/cn/personal-care/handwash/cid/163/699","Dabur Fem Floral Bouquet Hand Wash","1.5 ltr","₹148","₹199","25%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/890e9753-d95e-4722-acef-d737ec6fa91f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775703826-10","https://blinkit.com/cn/personal-care/handwash/cid/163/699","Dettol Liquid Hand Wash Refill Pouch (Original Germ Protection)","1.35 ltr","₹157","₹219","28%
OFF","ADD","18 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7b7b0f1b-5279-41e1-aa79-0f19eeafb834.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
