web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,image
"1775678504-1","https://blinkit.com/cn/pharma-wellness/hangover-cure/cid/287/189","Rebound Hangover fix Lime Hangover Solution (Bottle)","60 ml","₹88","₹100","12%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e7a539ee-b369-4325-9c33-999194798b1b.png"
"1775678504-2","https://blinkit.com/cn/pharma-wellness/hangover-cure/cid/287/189","Morning Fresh POP Hangover Solution (Orange)","3 pcs","₹118","₹133","11%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/db8339a8-b53a-482b-a56f-2a2f65b58104.png"
"1775678504-3","https://blinkit.com/cn/pharma-wellness/hangover-cure/cid/287/189","Himalaya PartySmart Hangover Solution (Pack)","5 pcs","₹96","₹112","14%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b4daf933-35fa-4237-9cf3-0e22d3f9fc84.png"
"1775678504-4","https://blinkit.com/cn/pharma-wellness/hangover-cure/cid/287/189","Fast&Up Nightout Instant Hangover Solution (Lemon Effervescent Tablets) - 10 pieces","10 pcs","₹296","₹311","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b361227d-caec-4d7f-871b-517528d684a1.png"
"1775678504-5","https://blinkit.com/cn/pharma-wellness/hangover-cure/cid/287/189","Rebound Hangover fix Assorted Hangover Solution (Box)","240 ml","₹315","₹370","14%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4b289e6e-3955-4630-8935-2ec8479b2a57.png"
"1775678504-6","https://blinkit.com/cn/pharma-wellness/hangover-cure/cid/287/189","Fast&Up Nightout Instant Hangover Solution (Lemon)","4 tabs","₹126","₹132","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bd2e017c-66c9-48fd-bb6a-6c82b98536ac.png"
"1775678504-7","https://blinkit.com/cn/pharma-wellness/hangover-cure/cid/287/189","Rebound Hangover fix Lime Detox Shot (Zero Sugar)","60 ml","₹84","₹100","16%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/18221804-b96d-45b8-a616-cdc3401adb8f.png"
"1775678504-8","https://blinkit.com/cn/pharma-wellness/hangover-cure/cid/287/189","Fast&Up Nightout Instant Hangover Solution (Orange)","10 tabs","₹322","₹350","8%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0b427202-7293-4f0d-b01c-d81ab74008e2.png"
"1775678504-9","https://blinkit.com/cn/pharma-wellness/hangover-cure/cid/287/189","Morning Fresh Strawberry Hangover Solution (Strawberry)","60 ml","₹107","₹125","14%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/eac1e04b-626d-4d21-88b4-00515db28c39.png"
"1775678504-10","https://blinkit.com/cn/pharma-wellness/hangover-cure/cid/287/189","Morning Fresh Hangover Solution (Assorted) - Pack of 4","4 x 60 ml","₹383","₹450","14%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f1576fae-161e-42d1-a00d-f6a027871e4e.png"
"1775678504-11","https://blinkit.com/cn/pharma-wellness/hangover-cure/cid/287/189","Rebound Hangover fix Detox Shot (Zero Sugar)","4 x 60 ml","₹300","₹400","25%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1769760540026-803.png"
"1775678504-12","https://blinkit.com/cn/pharma-wellness/hangover-cure/cid/287/189","Himalaya Wellness Gummies Hangover Solution (Box)","10 pcs","₹198","₹225","12%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e5a31554-da94-43cb-9ee0-74dcfdb46963.png"
