web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775681949-1","https://blinkit.com/cn/home-office/home-decor/cid/1379/1433","Mangalam Kapoor Dani/ Diffuser Set","1 pc","₹269","₹399","32%
OFF","ADD","23 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d0103231-5279-44aa-bc24-00b0ab5707fa.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681949-2","https://blinkit.com/cn/home-office/home-decor/cid/1379/1433","Unscented Tea Light Candles (White) by Auradecor","50 pcs","₹178","₹599","70%
OFF","ADD","23 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/15f89415-b023-4f84-8ccd-58917017f522.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681949-3","https://blinkit.com/cn/home-office/home-decor/cid/1379/1433","Rooted Lavender Daisy Crochet Flower Bouquet","1 pc","₹279","₹799","65%
OFF","ADD","23 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770017428150-125.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681949-4","https://blinkit.com/cn/home-office/home-decor/cid/1379/1433","Rooted Pink Haze Dried Flowers Bouquet","1 pc","₹139","₹399","65%
OFF","ADD","23 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4b8d2264-6539-4b51-9883-17566519d844.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681949-5","https://blinkit.com/cn/home-office/home-decor/cid/1379/1433","Scented Votive Candle (Jasmine, White) by Auradecor","6 pcs","₹99","₹449","77%
OFF","ADD","23 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5a4dcaad-5fd7-4baa-a038-3a4dc03abf0b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681949-6","https://blinkit.com/cn/home-office/home-decor/cid/1379/1433","Tea Light Candles (Unscented, White) by Auradecor","1 set","₹89","₹199","55%
OFF","ADD","23 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/637de531-49ff-4d58-bf04-180590390ab1.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681949-7","https://blinkit.com/cn/home-office/home-decor/cid/1379/1433","Votive Scented Candle (Raspberry, Red) by Auradecor","6 pcs","₹99","₹449","77%
OFF","ADD","23 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/47e3f12d-e923-423f-a1d2-b46f20d23796.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681949-8","https://blinkit.com/cn/home-office/home-decor/cid/1379/1433","Auradecor Ceramic Diffuser Gift Set (Jasmine Aroma, Brown)","5 pcs","₹159","₹399","60%
OFF","ADD","23 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ff468843-da6e-4e12-870d-909147d509c6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681949-9","https://blinkit.com/cn/home-office/home-decor/cid/1379/1433","Heart Shape Tea Light Candles (Rose, Red) by Auradecor","10 pcs","₹139","₹399","65%
OFF","ADD","23 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c19820f3-14ca-49bb-920d-df5680134e87.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775681949-10","https://blinkit.com/cn/home-office/home-decor/cid/1379/1433","Auradecor Ceramic Diffuser Gift Set (Lemon Aroma, Cream)","5 pcs","₹159","₹399","60%
OFF","ADD","23 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/862258aa-3eaa-471b-a1b4-0cb5617d948f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
