web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2,image3
"1775623174-1","https://blinkit.com/cn/sweet-tooth/ice-cream-frozen-dessert/cid/9/183","Havmor Cookie Chocolate Ice Cream Sandwich","125 ml","₹60","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7e05c780-3876-4e89-ba78-87b311e597db.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623174-2","https://blinkit.com/cn/sweet-tooth/ice-cream-frozen-dessert/cid/9/183","Kwality Walls Cornetto Double Chocolate Frozen Dessert Cone","105 ml","₹35","","","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b3a281d9-6bce-4151-a633-06e1ef2b4c15.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623174-3","https://blinkit.com/cn/sweet-tooth/ice-cream-frozen-dessert/cid/9/183","Amul Gold Frostik Ice Cream Stick","70 ml","₹45","","","ADD","12 mins","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b348ff6c-714b-47bc-ba62-958855d0551b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623174-4","https://blinkit.com/cn/sweet-tooth/ice-cream-frozen-dessert/cid/9/183","Amul Choco Chips Ice Cream Tub","1 ltr","₹230","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/82c8cd2f-fe1d-40b6-b82b-0ddc82f65eca.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623174-5","https://blinkit.com/cn/sweet-tooth/ice-cream-frozen-dessert/cid/9/183","Havmor Slice Cassata Ice Cream","150 ml","₹65","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770788511345-1055.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623174-6","https://blinkit.com/cn/sweet-tooth/ice-cream-frozen-dessert/cid/9/183","Kwality Walls Magnum Chocolate Truffle Ice Cream Stick","70 ml","₹70","","","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a5f2160c-815d-4ca0-97f0-a85798dd6e63.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623174-7","https://blinkit.com/cn/sweet-tooth/ice-cream-frozen-dessert/cid/9/183","Amul Gold Duetz Mango Ice Cream Stick","60 ml","₹20","","","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ddf5f7b6-6be5-4f07-91a7-c2f70ba7f3e4.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623174-8","https://blinkit.com/cn/sweet-tooth/ice-cream-frozen-dessert/cid/9/183","Arun Vanilla Flavoured Ice Cream Cup","125 ml","₹40","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a93a8bfb-7a5e-477a-bbac-21e5aba9fba8.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623174-9","https://blinkit.com/cn/sweet-tooth/ice-cream-frozen-dessert/cid/9/183","Cream Bell Maxxum Butterscotch Caramel Frozen Dessert Stick","80 ml","₹50","","","ADD","12 mins","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/146e936c-fd13-4797-98a3-f15d8abe39e7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/ui/ad_without_bg.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775623174-10","https://blinkit.com/cn/sweet-tooth/ice-cream-frozen-dessert/cid/9/183","Kwality Walls Butterscotch Ice Cream Tub","700 ml","₹160","","","ADD","12 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771553348655-727.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
