web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775591204-1","https://blinkit.com/cn/cold-drinks-juices/imported-beverages/cid/332/2360","Mogu Mogu Lychee Fruit Drink with Nata De Coco","320 ml","₹67","₹70","","19 mins","3 options","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773548322922-230.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591204-2","https://blinkit.com/cn/cold-drinks-juices/imported-beverages/cid/332/2360","Mogu Mogu Strawberry Fruit Drink","320 ml","₹67","₹70","","19 mins","3 options","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771857245207-326.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591204-3","https://blinkit.com/cn/cold-drinks-juices/imported-beverages/cid/332/2360","Mogu Mogu Mango Drink","300 ml","₹66","₹70","5%
OFF","19 mins","3 options","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771857245207-348.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591204-4","https://blinkit.com/cn/cold-drinks-juices/imported-beverages/cid/332/2360","Mogu Mogu Grape Fruit Drink with Nata De Coco","320 ml","₹67","₹70","","19 mins","3 options","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773548322922-222.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591204-5","https://blinkit.com/cn/cold-drinks-juices/imported-beverages/cid/332/2360","Mogu Mogu Orange Fruit Drink","320 ml","₹66","₹70","5%
OFF","19 mins","3 options","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773548322922-214.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591204-6","https://blinkit.com/cn/cold-drinks-juices/imported-beverages/cid/332/2360","Mogu Mogu Pineapple Fruit Drink","320 ml","₹67","₹70","","19 mins","3 options","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771857245207-357.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591204-7","https://blinkit.com/cn/cold-drinks-juices/imported-beverages/cid/332/2360","Fanta Orange Soft Drink (Zero Sugar)","330 ml","₹203","₹240","15%
OFF","19 mins","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775562089317-256.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591204-8","https://blinkit.com/cn/cold-drinks-juices/imported-beverages/cid/332/2360","Coca-Cola Vanilla Soft Drink (Zero Sugar)","330 ml","₹181","₹220","17%
OFF","19 mins","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775562089317-268.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591204-9","https://blinkit.com/cn/cold-drinks-juices/imported-beverages/cid/332/2360","Evian Natural Mineral Water","500 ml","₹136","₹160","15%
OFF","19 mins","2 options","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f0d5a16a-5c04-4438-8f0b-9b2666792fc6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591204-10","https://blinkit.com/cn/cold-drinks-juices/imported-beverages/cid/332/2360","Jameson Ginger Ale","250 ml","₹100","","","19 mins","4 options","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/cdb1c23c-6961-4c1a-85fa-6648daff5d30.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591204-11","https://blinkit.com/cn/cold-drinks-juices/imported-beverages/cid/332/2360","Sprite Lemon-Lime Zero Sugar Soft Drink","330 ml","₹187","₹220","15%
OFF","19 mins","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772462582322-304.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775591204-12","https://blinkit.com/cn/cold-drinks-juices/imported-beverages/cid/332/2360","Perrier Sparkling Water","330 ml","₹195","","","19 mins","","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9c3bfab5-9b61-4f0d-b106-4b3e94a31fd3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
