web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775622497-1","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Samyang Ramen Instant Noodles - Carbo Hot Chicken Flavour","130 g","₹150","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-2387.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-2","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Samyang Ramen Instant Noodles - Cheese Hot Chicken Flavour","140 g","₹150","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-2395.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-3","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Samyang Ramen Instant Noodles - Hot Chicken Flavour","140 g","₹150","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-2379.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-4","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Moi Soi Shirataki Udon Noodles - Keto Low Calorie","270 g","₹194","₹220","11%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-4917.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-5","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Nongshim Shin Red Super Spicy Noodles","120 g","₹139","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-1882.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-6","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Otoki Jin Ramen Spicy Noodles","120 g","₹122","₹139","12%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772169697746-95.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-7","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Indomie Instant Noodles (Special Chicken)","5 x 75 g","₹115","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-4348.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-8","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Moi Soi Thai Rice Stick Noodles - Made with Thai Rice","400 g","₹170","₹290","41%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771313685905-1151.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-9","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Indomie Mi goreng Instant Noodles","400 g","₹115","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-4339.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-10","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Nongshim Kimchi Ramyun Noodles","120 g","₹139","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-1282.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-11","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Samyang Ramen Instant Noodles - Jjajang Hot Chicken Flavour","140 g","₹150","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-2403.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-12","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Samyang 2x Spicy Ramen Instant Noodles - Hot Chicken Flavour","140 g","₹150","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-2421.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-13","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Real Thai Rice Stick Noodles","375 g","₹270","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-865.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-14","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Nongshim Shin Cup Noodles","68 g","₹99","₹139","28%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772535388856-411.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-15","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Real Thai Rice Stick Pad Thai Noodles","375 g","₹253","₹275","8%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-873.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-16","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Nongshim Hot & Spicy Bowl Noodle Soup","100 g","₹180","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770870008650-1939.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-17","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Nongshim Shin Red Super Spicy Noodles","68 g","₹139","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-1928.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-18","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Barilla Spaghetti Durum Wheat Semolina Pasta","500 g","₹279","₹329","15%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a3b5258d-50e8-4312-9c28-2b966145f963.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-19","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Indomie Chicken Flavour Instant Noodles","5 x 70 g","₹100","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-4361.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-20","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Naturally Yours Multi-Millet No Onion No Garlic Noodles","180 g","₹149","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775446787912-161.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-21","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Naturally Yours Red Rice No Onion No Garlic Noodles","180 g","₹149","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775446787912-165.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-22","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Otoki Jin Ramen Mild Noodles","120 g","₹122","₹139","12%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772169697746-86.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-23","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Moi Soi Thai Glass Noodles - Made with Mung Beans","160 g","₹219","₹250","12%
OFF","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771313685905-1161.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-24","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Nongshim Kimchi Shin Noodles","75 g","₹139","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-1980.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-25","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Nongshim Red Super Spicy Flavoured Instant Noodles","600 g","₹649","","","13 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-1938.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-26","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Nongshim Stir Fry Shin Ramyun Noodles With Cheese","136 g","₹169","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771305481383-3654.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622497-27","https://blinkit.com/cn/instant-frozen-food/imported-noodles-pasta/cid/15/2361","Urban Platter Sushi Nori Sheet (Seaweed)","25 g","₹309","₹325","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4bec0a2a-376d-4872-be1c-401e000bd348.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
