web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775592917-1","https://blinkit.com/cn/munchies/imported-snacks/cid/1237/2362","Cheetos Crunchy Flamin' Hot Puffs","25 g","₹104","₹120","13%
OFF","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773206235643-18.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592917-2","https://blinkit.com/cn/munchies/imported-snacks/cid/1237/2362","Kettle Studio Rock Sea Salt & English Vinegar Potato Chips","113 g","₹99","","","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773048060308-754.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592917-3","https://blinkit.com/cn/munchies/imported-snacks/cid/1237/2362","Kettle Studio Sweet Chilli With Lime & Basil Potato Chips","60 g","₹49","","","9 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773048060308-1090.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592917-4","https://blinkit.com/cn/munchies/imported-snacks/cid/1237/2362","Nongshim Shrimp Flavoured Hot & Spicy Crackers Chips","75 g","₹139","","","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e726d2de-4fdd-4fc3-b314-11017932a1d2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592917-5","https://blinkit.com/cn/munchies/imported-snacks/cid/1237/2362","Cheetos Crunchy Cheese Corn Puffs","50 g","₹180","₹249","27%
OFF","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773206235643-44.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592917-6","https://blinkit.com/cn/munchies/imported-snacks/cid/1237/2362","Kettle Studio Mature Cheddar & Red Onions Potato Chips","60 g","₹46","₹49","6%
OFF","9 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773048060308-1023.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592917-7","https://blinkit.com/cn/munchies/imported-snacks/cid/1237/2362","Kettle Studio Sharp Jalapenos & Cream Cheese Potato Chips","60 g","₹44","₹49","10%
OFF","9 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773048060308-1012.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592917-8","https://blinkit.com/cn/munchies/imported-snacks/cid/1237/2362","Cheetos Crunchy Flamin Hot Crisps","50 g","₹180","₹249","27%
OFF","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773206235643-59.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592917-9","https://blinkit.com/cn/munchies/imported-snacks/cid/1237/2362","Lay's Flamin' Hot Screamin' Sriracha Ridged Chips","45 g","₹183","₹199","8%
OFF","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773206235643-13.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775592917-10","https://blinkit.com/cn/munchies/imported-snacks/cid/1237/2362","Kettle Studio Crushed Peprika with Exotic Spices Potato Chips","113 g","₹99","","","9 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773048060308-235.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
