web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775625621-1","https://blinkit.com/cn/tea-coffee-health-drinks/imported-tea-coffee/cid/12/2363","Tata Coffee Gold 100% Pure Instant Coffee (Original)","50 g","₹348","₹400","13%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8fba2ea3-a9ab-4f3b-ad0e-10156b778545.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625621-2","https://blinkit.com/cn/tea-coffee-health-drinks/imported-tea-coffee/cid/12/2363","Davidoff Rich Aroma Instant Coffee 10/12 Intensity","100 g","₹750","₹949","20%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/72cb7953-5370-4c8e-9eb9-04a3f804ac63.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625621-3","https://blinkit.com/cn/tea-coffee-health-drinks/imported-tea-coffee/cid/12/2363","Flurys Lemon And Honey Green Tea Bags","25 pcs","₹168","₹240","30%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/651ed8cf-74a7-489f-89f0-aba685390800.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625621-4","https://blinkit.com/cn/tea-coffee-health-drinks/imported-tea-coffee/cid/12/2363","Davidoff Espresso 57 Instant Coffee 11/12 Intensity","100 g","₹790","₹949","16%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7bce72cf-b3e8-48fd-b16e-4014de9f6b1c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625621-5","https://blinkit.com/cn/tea-coffee-health-drinks/imported-tea-coffee/cid/12/2363","Flurys Pure Chamomile Organic Tea Bags","20 pcs","₹188","₹250","24%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771395208762-1286.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625621-6","https://blinkit.com/cn/tea-coffee-health-drinks/imported-tea-coffee/cid/12/2363","Flurys Masala Tea Bags","25 pcs","₹165","₹220","25%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771553348655-20.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625621-7","https://blinkit.com/cn/tea-coffee-health-drinks/imported-tea-coffee/cid/12/2363","Davidoff Fine Aroma Instant Coffee 7/12 Intensity","100 g","₹790","₹949","16%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/63f0ef9b-05b5-45be-8361-c759920bb4ae.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625621-8","https://blinkit.com/cn/tea-coffee-health-drinks/imported-tea-coffee/cid/12/2363","Urban Platter Unsweetened Almond Beverage (Lactose-Free, Plant-Based / Vegan / Milk Alternative)","1 ltr","₹225","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a7219210-d45b-4edf-90c2-43d448321de9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625621-9","https://blinkit.com/cn/tea-coffee-health-drinks/imported-tea-coffee/cid/12/2363","Davidoff Brazil Instant Coffee 8/12 Intensity","90 g","₹1,038","₹1,099","5%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/92abc98a-a1a9-4bda-baa9-8afd05508ac8.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775625621-10","https://blinkit.com/cn/tea-coffee-health-drinks/imported-tea-coffee/cid/12/2363","Twinings Origins Classic Assam Tea Bags","25 pcs","₹307","₹325","5%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e1d7cb39-2130-47ca-97ae-b6a6280274fa.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
